assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
18.7,99,1.3,12,4.4,,2,12.1,121,1.5,0.474,351,0.427,150,0.342,120,0.833,100,31,28,75,1069,2.4,1.4,12,2.1,74,16.3,tyrese-maxey-1,433,424,Guard,1.5,27,kentucky,0.322,113,0.292,33,7.3,133,0.531,14.1,67,238,0.492,117,22.7,198,3.6,0.134,Tyrese Maxey,Career,1,3.7,0.45,4.53,4.49,3.74,0.45,2.77,16.2,1.01,4.23,1.23,4.98,2.51,8.91,4.38
19.3,374,1.8,69,7.4,,1.7,18.4,681,6.4,0.518,1605,0.46,739,0.45,723,0.788,570,126,110,79,4285,5.7,5.7,201,12.6,309,24.1,tres-tinkle-1,2233,2160,Forward,2.7,196,oregon-state,0.35,561,0.33,185,12.2,882,0.573,13.7,309,1044,0.531,554,27.3,225,18.9,0.177,Tres Tinkle,Career,5,3.49,0.64,6.36,6.75,5.32,1.88,2.88,20.84,1.83,5.24,1.73,8.23,2.88,9.75,5.17
20.8,105,3,26,9.1,,2.9,14.5,123,2.7,0.566,430,0.472,203,0.16,69,0.739,51,51,25,78,1097,6.2,9.4,84,4.1,94,26.6,trevelin-queen-1,538,526,Guard,3.9,70,new-mexico-state,0.505,217,0.373,81,11.8,207,0.581,12.5,66,213,0.573,122,24.8,190,6.8,0.248,Trevelin Queen,Career,2,3.83,0.95,4.48,2.52,1.86,3.06,3.43,19.62,2.55,7.91,2.95,7.55,2.41,7.77,4.45
12.2,106,0.6,8,8.2,,3.9,20.2,308,4.1,0.489,479,0.411,197,0.334,160,0.8,128,68,32,77,1650,4.3,8.2,124,4.2,125,20.2,nate-hinton-1,596,603,Guard,2.9,81,houston,0.422,202,0.366,74,14.3,432,0.537,11.5,72,277,0.444,123,18.9,210,8.4,0.203,Nate Hinton,Career,2,2.57,0.19,7.47,3.88,3.1,3.01,3.03,14.45,1.96,4.9,1.79,10.47,1.75,6.72,2.98
24.1,88,0.9,6,5.1,,1.8,16.4,115,0.9,0.451,345,0.38,131,0.371,128,0.75,96,22,20,75,768,3.3,1.4,10,1.2,64,17.5,cole-anthony-1,407,383,Guard,2.1,29,north-carolina,0.409,141,0.348,49,8.7,125,0.501,15.9,77,204,0.402,82,30,190,2.1,0.108,Cole Anthony,Career,1,4.58,0.31,5.99,6.67,5,0.52,3.33,21.2,1.51,7.34,2.55,6.51,4.01,10.62,4.27
4.4,1,13.6,9,18,,4.9,26.5,19,0.2,0.769,26,0.769,20,1.038,27,0.704,19,3,3,85,69,13.1,21.8,13,0.5,5,52.7,james-wiseman-1,59,48,Center,0.8,1,memphis,0.038,1,0,0,24.4,32,0.76,7.2,3,25,0.8,20,29.1,240,0.7,0.434,James Wiseman,Career,1,0.58,5.22,11.01,15.65,11.01,7.54,2.9,34.2,0.58,0.58,0,18.55,1.74,14.49,11.59
11.4,70,3.9,39,10.9,,4.5,14.5,152,2.4,0.559,413,0.475,196,0.225,93,0.72,67,63,30,78,1216,6.4,5,51,3.9,88,22.7,devin-vassell-1,529,490,Guard,2.8,60,florida-state,0.407,168,0.417,70,9.8,203,0.579,7.1,35,245,0.514,126,20,180,6.3,0.208,Devin Vassell,Career,2,2.3,1.28,5,3.06,2.2,1.68,2.89,17.4,1.97,5.53,2.3,6.68,1.15,8.06,4.14
12.5,138,1.3,31,2.6,,1.4,18.3,408,3.1,0.512,782,0.462,361,0.308,241,0.722,174,93,85,81,2374,1.2,7.8,163,4,274,17.1,rayshaun-hammonds-1,974,945,Forward,1.6,66,georgia,0.294,230,0.339,78,13.3,571,0.543,15.9,170,552,0.513,283,22.1,235,7.1,0.119,Rayshaun Hammonds,Career,3,2.33,0.52,6.87,4.06,2.93,2.75,4.62,16.41,1.11,3.88,1.31,9.62,2.86,9.3,4.77
11.3,100,0.3,5,5.8,,2.4,11.2,173,2.4,0.499,479,0.403,193,0.459,220,0.895,197,67,27,75,1672,3.5,1.4,18,4.3,114,16.4,immanuel-quickley-1,675,625,Guard,1.5,43,kentucky,0.484,232,0.397,92,6.7,191,0.578,12.2,81,247,0.409,101,20.3,188,6.7,0.16,Immanuel Quickley,Career,2,2.39,0.12,4.14,5.26,4.71,0.43,2.73,16.15,1.03,5.55,2.2,4.57,1.94,5.91,2.42
42.8,890,0.3,12,9.2,,2.2,8.7,342,6.2,0.553,1405,0.461,648,0.349,490,0.845,414,139,108,73,3997,7,1,32,14.7,275,22.4,cassius-winston-1,1969,2142,Guard,1.8,125,michigan-state,0.428,602,0.43,259,5.2,374,0.601,18.6,374,803,0.484,389,25.5,185,20.9,0.209,Cassius Winston,Career,4,8.91,0.12,3.42,4.9,4.14,0.32,2.75,19.7,1.25,6.02,2.59,3.74,3.74,8.04,3.89
8.5,95,1.1,23,7.9,,2.5,20,454,4.7,0.535,986,0.445,439,0.307,303,0.785,238,93,59,79,2446,5.4,5.1,107,6.1,174,21.3,jordan-nwora-1,1294,1151,Forward,1.7,72,louisville,0.458,452,0.394,178,12.9,561,0.573,12.9,168,534,0.489,261,27.1,225,10.8,0.177,Jordan Nwora,Career,3,1.55,0.38,7.42,4.96,3.89,1.75,2.85,21.16,1.18,7.39,2.91,9.17,2.75,8.73,4.27
27.4,377,0.7,16,7.3,,3.7,9.5,207,4.3,0.466,702,0.419,294,0.288,202,0.767,155,65,65,75,2258,3.6,2.5,51,5.2,107,18,tre-jones-1,809,922,Guard,2.9,120,duke,0.301,211,0.313,66,6.1,258,0.507,14.1,131,491,0.464,228,19.2,185,9.5,0.168,Tre Jones,Career,2,6.68,0.28,3.67,3.58,2.75,0.9,1.9,14.33,2.13,3.74,1.17,4.57,2.32,8.7,4.04
17.1,382,0.7,25,6.1,,2.2,11.4,409,3.9,0.519,1168,0.445,520,0.409,478,0.845,404,130,121,76,3963,4,1.8,62,10,221,19.1,skylar-mays-1,1617,1598,Guard,3,213,louisiana-state,0.429,501,0.345,173,6.7,471,0.58,14.6,238,667,0.52,347,20,205,13.9,0.14,Skylar Mays,Career,4,3.86,0.25,4.13,4.82,4.08,0.63,2.23,16.32,2.15,5.06,1.75,4.75,2.4,6.73,3.5
21,247,0.4,8,8.7,,4.1,10.2,215,4.1,0.525,694,0.474,329,0.458,318,0.808,257,66,66,74,2215,4.5,2.1,39,6.3,145,20.8,devon-dotson-1,986,990,Guard,2.9,112,kansas,0.308,214,0.332,71,6.4,254,0.583,15.4,154,480,0.538,258,22.7,185,10.4,0.188,Devon Dotson,Career,2,4.46,0.14,3.88,5.74,4.64,0.7,2.62,17.81,2.02,3.86,1.28,4.59,2.78,8.67,4.66
11.7,120,1.2,24,6.8,,1.9,11.8,216,2.6,0.575,605,0.469,284,0.225,136,0.728,99,67,60,80,2115,4.9,6.4,114,5.9,155,18.6,saddiq-bey-1,795,767,Forward,1.6,55,villanova,0.506,306,0.418,128,9.1,330,0.594,10,74,299,0.522,156,18.5,216,8.5,0.161,Saddiq Bey,Career,2,2.27,0.45,4.09,2.57,1.87,2.16,2.93,15.04,1.04,5.79,2.42,6.24,1.4,5.65,2.95
27.7,355,0.7,19,3.5,,0.7,10.5,261,2.1,0.517,935,0.471,440,0.553,517,0.718,371,96,78,74,2951,2.8,2.1,54,6.5,197,19.1,saben-lee-1,1338,1369,Guard,2.4,121,vanderbilt,0.283,265,0.328,87,6.2,315,0.567,17.9,258,670,0.527,353,24.9,183,8.6,0.116,Saben Lee,Career,3,4.81,0.26,3.54,7.01,5.03,0.73,2.67,18.14,1.64,3.59,1.18,4.27,3.5,9.08,4.78
7.5,105,1.1,29,4.5,,1,21.6,502,4.3,0.535,975,0.458,447,0.326,318,0.745,237,95,85,80,2867,3.4,5.3,120,7.2,254,20.8,malik-fitts-1,1280,1196,Forward,2.2,104,saint-marys-ca,0.39,380,0.392,149,13.6,622,0.568,12.1,155,595,0.501,298,24,230,11.5,0.16,Malik Fitts,Career,3,1.46,0.4,7,4.44,3.31,1.67,3.54,17.86,1.45,5.3,2.08,8.68,2.16,8.3,4.16
14.6,65,4.9,43,2.6,,2.2,15.8,146,1.7,0.469,336,0.405,136,0.339,114,0.763,87,31,21,81,963,0.3,4.4,34,0.6,103,14.6,jaden-mcdaniels-1,402,394,Forward,1.4,24,washington,0.378,127,0.339,43,10.6,180,0.515,20.4,100,209,0.445,93,25.6,200,2.3,0.096,Jaden McDaniels,Career,1,2.7,1.79,6.06,4.74,3.61,1.41,4.28,16.7,1,5.28,1.79,7.48,4.15,8.68,3.86
8.5,58,3.3,41,6.5,,1.4,21.6,249,2.6,0.571,493,0.56,276,0.635,313,0.703,220,65,33,83,1222,5.1,9.9,100,5.2,105,28.8,filip-petrusev-1,783,730,Forward,1.1,25,gonzaga,0.083,41,0.268,11,16.1,349,0.61,12.2,89,452,0.586,265,28.7,235,7.9,0.258,Filip Petrusev,Career,2,1.9,1.34,8.15,10.25,7.2,3.27,3.44,25.63,0.82,1.34,0.36,11.42,2.91,14.8,8.67
24.5,385,0.2,6,4.7,,1.1,10.6,290,3.3,0.518,1072,0.42,450,0.273,293,0.833,244,94,92,73,3132,3.6,2,50,8,171,19.2,malachi-flynn-1,1355,1391,Guard,2.4,126,san-diego-state,0.543,582,0.363,211,6.4,340,0.559,13.4,188,490,0.488,239,23.4,185,11.3,0.144,Malachi Flynn,Career,3,4.92,0.08,3.7,3.74,3.12,0.64,2.18,17.31,1.61,7.43,2.69,4.34,2.4,6.26,3.05
24.7,267,2.5,45,9.9,,4.1,10.8,191,2.7,0.631,411,0.509,209,0.173,71,0.775,55,57,56,77,1970,5.8,3.5,58,5.4,75,20.3,tyrese-haliburton-1,574,641,Guard,3.2,108,iowa-state,0.577,237,0.426,101,7.2,249,0.645,16.7,89,174,0.621,108,13.6,175,8.1,0.164,Tyrese Haliburton,Career,2,5.42,0.91,3.88,1.44,1.12,1.18,1.52,11.65,2.19,4.81,2.05,5.06,1.81,3.53,2.19
8.2,30,5.8,49,11.3,,3.4,26.1,189,2,0.588,345,0.577,199,0.632,218,0.67,146,31,30,82,772,7.9,12,83,3.6,85,34.1,vernon-careyjr-1,552,499,Center,1.6,22,duke,0.061,21,0.381,8,19.2,272,0.615,12.3,63,324,0.59,191,31,270,5.6,0.288,Vernon CareyJr,Career,1,1.55,2.54,9.79,11.3,7.56,4.3,4.4,28.6,1.14,1.09,0.41,14.09,3.26,16.79,9.9
9.4,58,2.2,30,5.6,,1.1,16.1,200,1.4,0.561,496,0.442,219,0.288,143,0.825,118,46,33,78,1428,4.5,3.6,45,3.6,137,19.8,aaron-nesmith-1,675,592,Forward,1.7,43,vanderbilt,0.585,290,0.41,119,9.8,245,0.598,11.7,75,206,0.485,100,22.7,213,5,0.14,Aaron Nesmith,Career,2,1.62,0.84,5.6,4.01,3.31,1.26,3.84,18.91,1.2,8.12,3.33,6.86,2.1,5.77,2.8
11.6,148,3.6,77,10.1,,4.4,17.7,369,5.3,0.624,702,0.548,385,0.279,196,0.75,147,108,59,82,2188,5.7,7.1,128,7.6,250,24.2,killian-tillie-1,1023,972,Forward,2.3,88,gonzaga,0.34,239,0.444,106,12.8,497,0.643,12.4,113,463,0.603,279,20.4,220,13,0.237,Killian Tillie,Career,4,2.71,1.41,6.75,3.58,2.69,2.34,4.57,18.7,1.61,4.37,1.94,9.09,2.07,8.46,5.1
13.1,57,3.1,25,6.3,,2.5,8.8,71,1.1,0.556,243,0.514,125,0.551,134,0.672,90,28,28,78,881,3.7,6.4,53,2.3,76,19.1,isaac-okoro-1,360,351,Forward,1.7,26,auburn,0.288,70,0.286,20,7.6,124,0.587,15.2,55,173,0.607,105,19.6,225,3.4,0.156,Isaac Okoro,Career,1,2.59,1.14,3.22,6.08,4.09,2.41,3.45,16.35,1.18,3.18,0.91,5.63,2.5,7.85,4.77
5.8,27,3.3,28,8,,2.3,20.3,177,2.1,0.578,314,0.57,179,0.637,200,0.76,152,32,32,83,981,5.6,11.5,99,3.5,76,25.7,zeke-nnaji-1,515,482,Forward,1.3,23,arizona,0.054,17,0.294,5,15.9,276,0.63,14.6,70,297,0.586,174,24.1,240,5.6,0.229,Zeke Nnaji,Career,1,1.1,1.14,7.22,8.15,6.2,4.04,3.1,21,0.94,0.69,0.2,11.25,2.85,12.11,7.09
14.2,155,3.5,73,8.8,,3.3,20.9,446,5,0.54,828,0.495,410,0.571,473,0.729,345,96,92,81,2426,5.5,11.4,226,7.9,292,24.9,kaleb-wesson-1,1240,1233,Forward,1.8,74,ohio-state,0.236,195,0.385,75,16.3,672,0.589,14.9,184,633,0.529,335,26.6,270,12.9,0.212,Kaleb Wesson,Career,3,2.56,1.2,7.35,7.8,5.69,3.73,4.81,20.45,1.22,3.22,1.24,11.08,3.03,10.44,5.52
13.6,241,0.1,4,7,,1.1,8.6,254,4.5,0.567,1419,0.49,696,0.28,397,0.806,320,133,104,73,3702,5.8,2.1,57,14.1,155,24,jordan-ford-1,1929,1776,Guard,2.1,124,saint-marys-ca,0.368,522,0.416,217,5.5,311,0.6,8.7,154,897,0.534,479,26.1,175,18.6,0.201,Jordan Ford,Career,4,2.6,0.04,2.74,4.29,3.46,0.62,1.67,20.84,1.34,5.64,2.34,3.36,1.66,9.69,5.18
6.7,53,6.5,122,8.5,,2.9,22.6,391,3.6,0.572,699,0.558,390,0.426,298,0.671,200,66,62,82,1884,5.5,11.9,204,5.4,178,26.8,daniel-oturu-1,1000,910,Center,1,33,minnesota,0.077,54,0.37,20,17.3,595,0.595,14.4,141,645,0.574,370,26.4,240,9,0.192,Daniel Oturu,Career,2,1.13,2.59,8.3,6.33,4.25,4.33,3.78,21.23,0.7,1.15,0.42,12.63,2.99,13.69,7.86
31.6,351,0.5,10,5.4,,3.6,9.8,184,3.7,0.463,479,0.432,207,0.489,234,0.791,185,67,59,75,2048,1.8,1.8,29,2.8,151,15.9,ashton-hagans-1,629,748,Guard,3.4,119,kentucky,0.236,113,0.265,30,6.1,213,0.533,25,197,366,0.484,177,19.6,198,6.5,0.127,Ashton Hagans,Career,2,6.86,0.2,3.59,4.57,3.61,0.57,2.95,12.29,2.32,2.21,0.59,4.16,3.85,7.15,3.46
6.5,54,6.7,113,9.6,,3.4,21.2,362,3.9,0.558,607,0.516,313,0.437,265,0.709,188,64,64,82,1850,6.2,11.9,189,6.1,138,26,jalen-smith-1,865,819,Forward,1.2,36,maryland,0.26,158,0.323,51,16.7,551,0.59,11.4,94,449,0.584,262,22.8,225,9.9,0.215,Jalen Smith,Career,2,1.17,2.44,7.83,5.73,4.06,4.09,2.98,18.7,0.78,3.42,1.1,11.91,2.03,9.71,5.66
10.6,103,0.7,12,6.6,,1.7,9.6,166,2.6,0.534,718,0.39,280,0.241,173,0.827,143,60,59,77,1963,4.9,2,35,4.2,112,17.7,isaiah-joe-1,910,808,Guard,2.5,88,arkansas,0.763,548,0.378,207,5.8,201,0.569,9.8,87,170,0.429,73,22.4,180,6.8,0.139,Isaiah Joe,Career,2,2.1,0.24,3.38,3.53,2.91,0.71,2.28,18.54,1.79,11.17,4.22,4.1,1.77,3.46,1.49
18.2,268,7.1,221,4.8,,0.5,23.6,694,4.1,0.579,1365,0.56,765,0.557,760,0.736,559,125,98,82,3321,4.3,10.2,270,14,378,30.9,nathan-knight-1,2141,2082,Forward,1.2,67,william-mary,0.135,184,0.283,52,17.3,964,0.62,14,281,1181,0.604,713,31.2,253,18,0.217,Nathan Knight,Career,4,3.23,2.66,8.36,9.15,6.73,3.25,4.55,25.79,0.81,2.22,0.63,11.61,3.38,14.22,8.59
20.3,99,0.2,2,6.1,,2.7,14.4,128,2.3,0.535,333,0.441,147,0.33,110,0.891,98,31,31,73,1010,3.4,1.4,11,2.3,64,19.3,tyrell-terry-1,454,447,Guard,2.5,43,stanford,0.456,152,0.408,62,8.3,139,0.589,17.5,82,181,0.47,85,24.5,160,4.5,0.179,Tyrell Terry,Career,1,3.92,0.08,5.07,4.36,3.88,0.44,2.53,17.98,1.7,6.02,2.46,5.5,3.25,7.17,3.37
6.6,30,2.4,21,5.4,,1.9,11.7,87,1.4,0.531,270,0.474,128,0.389,105,0.733,77,29,29,78,796,3.6,7.6,54,1.9,63,18.5,cassius-stanley-1,364,339,Guard,1.4,20,duke,0.319,86,0.36,31,9.7,141,0.569,14.4,54,184,0.527,97,21.9,193,3.3,0.166,Cassius Stanley,Career,1,1.51,1.06,4.37,5.28,3.87,2.71,3.17,18.29,1.01,4.32,1.56,7.09,2.71,9.25,4.87
6.5,8,1.4,3,-2,,0.7,7.9,17,0.3,0.403,62,0.371,23,0.371,23,0.435,10,18,8,78,231,-2.7,7.8,14,-0.1,23,6.6,kahlil-whitney-1,60,63,Forward,1.3,5,kentucky,0.258,16,0.25,4,7.8,31,0.411,17.1,15,46,0.413,19,19.5,210,0.2,0.031,Kahlil Whitney,Career,1,1.39,0.52,2.94,3.98,1.73,2.42,3.98,10.39,0.87,2.77,0.69,5.37,2.6,7.97,3.29
25.9,659,0.2,7,6.7,,2.5,10.8,455,7.2,0.533,1504,0.437,657,0.279,420,0.8,336,144,140,74,4854,4.2,2.4,95,13.6,321,19.3,payton-pritchard-1,1938,2043,Guard,2.6,211,oregon,0.505,759,0.379,288,6.7,550,0.569,14.6,292,745,0.495,369,21.2,190,20.8,0.171,Payton Pritchard,Career,4,5.43,0.06,3.75,3.46,2.77,0.78,2.65,15.97,1.74,6.25,2.37,4.53,2.41,6.14,3.04
7.9,72,6.2,114,4.7,,1,20.6,355,2.4,0.556,752,0.539,405,0.273,205,0.693,142,81,61,85,1911,3.7,12.8,219,5.1,234,23.9,omer-yurtseven-1,978,916,Center,0.9,32,georgetown,0.081,61,0.426,26,16.7,574,0.576,12.8,125,691,0.548,379,24.4,264,7.5,0.157,Omer Yurtseven,Career,3,1.51,2.39,7.43,4.29,2.97,4.58,4.9,20.47,0.67,1.28,0.54,12.01,2.62,14.46,7.93
20.7,366,0.9,33,5.3,,0.7,10.3,374,5.3,0.574,1695,0.519,880,0.391,662,0.796,527,132,123,75,4265,4.6,1.8,61,16,255,26.2,grant-riller-1,2474,2322,Guard,2.3,165,college-of-charleston,0.31,526,0.356,187,6.1,435,0.616,12.5,287,1169,0.593,693,29,190,21.3,0.2,Grant Riller,Career,4,3.43,0.31,3.51,6.21,4.94,0.57,2.39,23.2,1.55,4.93,1.75,4.08,2.69,10.96,6.5
26.3,15,0,0,-15.6,,-4.2,8.2,7,0.1,0.333,24,0.25,6,0.417,10,0.6,6,13,2,70,113,-11.4,0,0,-0.3,14,1.4,jalen-harris-1,22,28,Guard,3.1,6,army,0.458,11,0.364,4,3.9,7,0.383,37.2,17,13,0.154,2,20.9,150,-0.2,-0.054,Jalen Harris,Career,1,5.31,0,2.48,3.54,2.12,0,4.96,7.79,2.12,3.89,1.42,2.48,6.02,4.6,0.71
6.6,85,6.7,165,8.3,,5.1,19.1,417,6.3,0.53,659,0.501,330,0.378,249,0.631,157,129,70,85,2464,3.2,9.6,198,5.6,234,21.4,jon-teske-1,856,873,Center,2,83,michigan,0.219,144,0.271,39,14.5,615,0.551,9.4,81,515,0.565,291,18.5,265,11.8,0.192,Jon Teske,Career,4,1.38,2.68,6.77,4.04,2.55,3.21,3.8,13.9,1.35,2.34,0.63,9.98,1.31,8.36,4.72
14.2,222,0.9,22,5.2,,1.4,13,329,3.5,0.528,957,0.418,400,0.297,284,0.813,231,98,66,76,2768,3.8,1.4,31,6.1,154,17.7,ty-shon-alexander-1,1241,1173,Guard,1.9,91,creighton,0.59,565,0.372,210,7.5,360,0.568,12.2,152,392,0.485,190,22.9,195,9.5,0.138,Ty-Shon Alexander,Career,3,3.21,0.32,4.75,4.1,3.34,0.45,2.23,17.93,1.32,8.16,3.03,5.2,2.2,5.66,2.75
12.6,256,1.7,61,5.9,,2.1,13.8,458,6.3,0.561,1257,0.432,543,0.165,207,0.831,172,129,120,79,4019,3.8,2.2,73,9.1,276,17.7,justinian-jessup-1,1583,1479,Guard,2.2,154,boise-state,0.634,797,0.408,325,8,531,0.584,10.9,165,460,0.474,218,19.4,202,15.4,0.154,Justinian Jessup,Career,4,2.55,0.61,4.56,2.06,1.71,0.73,2.75,15.76,1.53,7.93,3.23,5.28,1.64,4.58,2.17
