assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
15.1,191,3,64,6.1,,1.9,12.3,315,3.9,0.506,999,0.411,411,0.338,338,0.763,258,91,73,78,2798,4.2,1.9,48,5.9,176,18.5,elijah-hughes-1,1269,1167,Forward,2,93,syracuse,0.553,552,0.342,189,7.2,363,0.547,12.1,160,447,0.497,222,24.1,215,9.8,0.14,Elijah Hughes,Career,3,2.73,0.91,4.5,4.83,3.69,0.69,2.52,18.14,1.33,7.89,2.7,5.19,2.29,6.39,3.17
13.1,262,3.1,127,4.1,,1.8,17.7,675,7.1,0.458,1841,0.435,801,0.382,703,0.738,519,135,135,80,4351,2.3,5,200,6.5,347,18.7,lamar-stevens-1,2207,2088,Forward,1.4,107,penn-state,0.169,312,0.276,86,11.2,875,0.507,13,324,1529,0.468,715,28.5,225,13.6,0.125,Lamar Stevens,Career,4,2.41,1.17,6.21,6.46,4.77,1.84,3.19,20.29,0.98,2.87,0.79,8.04,2.98,14.06,6.57
19.1,293,1.1,30,4.4,,2.2,17.5,481,4.3,0.491,1029,0.439,452,0.357,367,0.725,266,99,82,79,3056,2.2,4.1,105,4.2,230,16.4,naji-marshall-1,1277,1276,Forward,1.9,99,xavier,0.36,370,0.289,107,11,586,0.531,18.2,268,659,0.524,345,24.2,220,8.6,0.112,Naji Marshall,Career,3,3.84,0.39,6.3,4.8,3.48,1.37,3.01,16.71,1.3,4.84,1.4,7.67,3.51,8.63,4.52
23.5,260,1.2,28,4.5,,1.5,9.1,196,2.3,0.515,812,0.447,363,0.303,246,0.793,195,65,65,75,2242,3,1.9,39,4.9,142,17.7,kira-lewisjr-1,1031,1033,Guard,2,84,alabama,0.374,304,0.362,110,5.5,235,0.555,16.5,184,508,0.498,253,23.5,165,7.1,0.127,Kira LewisJr,Career,2,4.64,0.5,3.5,4.39,3.48,0.7,2.53,18.39,1.5,5.42,1.96,4.19,3.28,9.06,4.51
15.7,121,6.2,110,1.8,,-1.2,24.9,416,2.4,0.494,1068,0.483,516,0.402,429,0.58,249,52,52,79,1847,3,8.7,146,4,174,28.6,lamine-diane-1,1304,1223,Forward,2.5,83,cal-state-northridge,0.074,79,0.291,23,16.8,562,0.513,11.2,161,989,0.498,493,38,205,6.4,0.138,Lamine Diane,Career,2,2.62,2.38,9.01,9.29,5.39,3.16,3.77,28.24,1.8,1.71,0.5,12.17,3.49,21.42,10.68
7.5,85,4.5,102,6.5,,3.8,27.8,612,6,0.542,749,0.53,397,0.538,403,0.747,301,99,87,79,2475,2.8,9.1,187,5.7,226,23.5,tyler-bey-1,1113,1058,Guard,2.3,98,colorado,0.079,59,0.305,18,18.8,799,0.592,16.4,184,690,0.549,379,23,218,11.7,0.189,Tyler Bey,Career,3,1.37,1.65,9.89,6.51,4.86,3.02,3.65,17.99,1.58,0.95,0.29,12.91,2.97,11.15,6.13
13.5,222,4.7,159,5.4,,1.6,24.8,818,6.9,0.56,1491,0.537,801,0.38,566,0.636,360,119,111,80,3659,3.7,7.7,235,8.9,292,24.9,yoeli-childs-1,2031,1907,Forward,1.4,94,brigham-young,0.13,194,0.356,69,16.6,1053,0.577,13.1,266,1297,0.564,732,28.2,225,15.8,0.173,Yoeli Childs,Career,4,2.43,1.74,8.94,6.19,3.94,2.57,3.19,22.2,1.03,2.12,0.75,11.51,2.91,14.18,8
16.1,333,1.4,54,7.1,,2.3,14.3,524,5.6,0.589,1331,0.495,659,0.203,270,0.804,217,141,114,78,4279,4.8,3.8,137,11.2,306,19.2,desmond-bane-1,1784,1634,Guard,1.8,132,texas-christian,0.432,575,0.433,249,9.1,661,0.611,13.1,220,756,0.542,410,19.9,215,16.8,0.157,Desmond Bane,Career,4,3.11,0.5,4.9,2.52,2.03,1.28,2.86,16.68,1.23,5.38,2.33,6.18,2.06,7.07,3.83
7.5,30,6.4,58,5.8,,3.4,24.6,241,2.9,0.511,369,0.493,182,0.507,187,0.599,112,31,31,81,943,2.5,11.4,93,1.5,73,23.3,precious-achiuwa-1,489,460,Forward,2,34,memphis,0.108,40,0.325,13,18.6,334,0.534,16,87,329,0.514,169,27.7,225,4.4,0.187,Precious Achiuwa,Career,1,1.27,2.46,10.22,7.93,4.75,3.94,3.1,20.74,1.44,1.7,0.55,14.17,3.69,13.96,7.17
31.5,169,0,0,5.4,,1.8,7.9,72,1.7,0.465,367,0.392,144,0.362,133,0.797,106,32,32,75,1032,3.6,0.9,8,2.2,55,17.2,nico-mannion-1,447,472,Guard,2.1,38,arizona,0.441,162,0.327,53,4.4,80,0.52,16,82,205,0.444,91,24.5,190,3.9,0.152,Nico Mannion,Career,1,6.55,0,2.79,5.16,4.11,0.31,2.13,17.33,1.47,6.28,2.05,3.1,3.18,7.95,3.53
16.7,156,2.3,44,4.4,,1.2,21.6,388,3.1,0.485,883,0.413,365,0.307,271,0.749,203,64,60,78,2060,3.3,4.8,90,3.5,176,20.2,cj-elleby-1,1060,1019,Forward,2.4,89,washington-state,0.392,346,0.367,127,13,478,0.524,14,165,537,0.443,238,28.2,200,6.6,0.128,CJ Elleby,Career,2,3.03,0.85,7.53,5.26,3.94,1.75,3.42,20.58,1.73,6.72,2.47,9.28,3.2,10.43,4.62
20.9,202,0.6,11,7.8,,2,14.5,261,3.1,0.526,759,0.431,327,0.56,425,0.819,348,65,56,77,2046,5.8,2.2,40,6.6,178,22.6,mason-jones-1,1146,1102,Guard,2.2,81,arkansas,0.53,402,0.358,144,8.4,301,0.596,14.3,160,357,0.513,183,27.3,200,9.6,0.188,Mason Jones,Career,2,3.95,0.22,5.1,8.31,6.8,0.78,3.48,22.4,1.58,7.86,2.82,5.88,3.13,6.98,3.58
