,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,three_point_percentage,free_throw_percentage,turnover_percentage,usage_percentage,box_plus_minus,name,year,minutes_played,value_over_replacement_player,attempted_three_point_field_goals,attempted_free_throws,steals,assists,blocks,turnovers,age,yrs_played,college,lkup,col_lkup
24,3,0,13.1,0.632,4.7,3.2,0.526,8.8,0.371,0.3,0.416666667,14.1,13.7,-6.3,Aaron Harrison,2016,93,-0.1,10,12,6,2,0,4,21,1,Kentucky ,Aaron Harrison Kentucky ,Aaron Harrison kentucky
25,22.6,0,19.5,0.5,0,0,0.5,9.7,0.102,0,0.5,0,12.9,-11.8,Aaron Harrison,2017,17,0,2,2,0,3,0,0,22,2,Kentucky ,Aaron Harrison Kentucky ,Aaron Harrison kentucky
26,6.7,0.8,9.9,0.246,1.8,1.9,0.623,5.7,0.392,0.209302326,0.764705882,3.8,15.5,-7.5,Aaron Harrison,2018,233,-0.3,43,17,9,11,2,3,23,3,Kentucky ,Aaron Harrison Kentucky ,Aaron Harrison kentucky
27,19.3,1.8,10.4,0.191,0.9,1.6,0.485,5.8,0.518,0.338582677,0.82,12.3,21.9,-1.6,Aaron Holiday,2019,646,0.1,127,50,21,87,13,40,22,1,California-Los Angeles,Aaron Holiday California-Los Angeles,Aaron Holiday ucla
28,19.1,0.9,9,0.155,1.5,1.7,0.393,5.3,0.521,0.393665158,0.850574713,12.8,18.7,-1.6,Aaron Holiday,2020,1617,0.2,221,87,55,225,16,88,23,2,California-Los Angeles,Aaron Holiday California-Los Angeles,Aaron Holiday ucla
29,4,0,3.2,0.222,6.5,0,0.444,4.8,0.405,0.25,0.5,9.2,13.7,-8.9,Aaron Jackson,2018,35,-0.1,4,2,0,1,0,1,31,1,Duquesne ,Aaron Jackson Duquesne ,Aaron Jackson duquesne
30,15.9,1.4,13.5,0.28,4.6,2.2,0.107,8.8,0.5,0.392857143,0.684931507,11.7,17,0.3,Aaron McKie,1995,827,0.5,28,73,36,89,16,39,22,1,Temple,Aaron McKie Temple,Aaron McKie temple
31,14.6,0.7,10.9,0.276,4.4,2.1,0.162,7.7,0.534,0.324786325,0.763819095,14.3,18.3,0.4,Aaron McKie,1996,2259,1.4,117,199,92,205,21,135,23,2,Temple,Aaron McKie Temple,Aaron McKie temple
32,15.436,1.084,13.252,0.30256,3.04,2.612,0.28904,8.296,0.52008,0.395727273,0.836386751,18.076,14.712,0.876,Aaron McKie,1997,1625,1.1,103,110,77,161,22,90,24,3,Temple,Aaron McKie Temple,Aaron McKie temple
33,15.046,0.57,11.126,0.1433,3.706,2.996,0.16522,7.416,0.4077,0.190664962,0.734836957,15.772,12.046,-1.484,Aaron McKie,1998,1813,0.2,63,55,101,175,13,76,25,4,Temple,Aaron McKie Temple,Aaron McKie temple
