,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,three_point_percentage,free_throw_percentage,turnover_percentage,usage_percentage,box_plus_minus,name,year,minutes_played,value_over_replacement_player,attempted_three_point_field_goals,attempted_free_throws,steals,assists,blocks,turnovers,age,yrs_played,college,lkup,col_lkup
2359,17,3.3,28.2,0.498,7.7,2.2,0.158,18,0.538,0.333333333,0.717948718,13.3,35.4,3.3,DeMarcus Cousins,2016,2246,3,210,663,101,214,92,249,25,6,Kentucky,DeMarcus Cousins Kentucky,DeMarcus Cousins kentucky
2360,25.836,3.393,29.197,0.46662,7.031,2.023,0.25441,18.168,0.56246,0.360220037,0.771956374,13.476,36.488,6.809,DeMarcus Cousins,2017,2465,5.5,363,670,100,332,93,269,26,7,Kentucky,DeMarcus Cousins Kentucky,DeMarcus Cousins kentucky
2361,23,3.5,30.9,0.456,6.8,2.2,0.34,19.2,0.583,0.353741497,0.746192893,18.9,31.9,4.7,DeMarcus Cousins,2018,1737,2.9,294,394,79,257,76,242,27,8,Kentucky,DeMarcus Cousins Kentucky,DeMarcus Cousins kentucky
2362,20.4,4.8,27,0.388,6.2,2.5,0.256,17.1,0.562,0.273684211,0.736111111,14.2,28.1,3,DeMarcus Cousins,2019,771,1,95,144,40,107,44,72,28,9,Kentucky,DeMarcus Cousins Kentucky,DeMarcus Cousins kentucky
2363,11.3,0.8,11.4,0.259,3.8,2.6,0.056,7.6,0.44,0,0.357142857,20,18.8,-5.5,DeMarcus Nelson,2009,171,-0.2,3,14,9,13,2,15,23,1,Duke ,DeMarcus Nelson Duke ,DeMarcus Nelson duke
2364,5.9,0.9,14.3,0.239,7.8,1.8,0.027,11,0.426,0,0.622641509,8.9,14.8,-4.2,DeMarre Carroll,2010,795,-0.4,6,53,28,33,9,24,23,1,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2365,10.71,1.638,14.508,0.17316,4.758,1.014,0,9.594,0.39468,0,0.78,0,11.532,-3.468,DeMarre Carroll,2011,50,0,0,2,1,4,1,0,24,2,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2366,8.148,0.188,8.304,0.15228,9.118,1.786,0.18048,8.77,0.48112,0.346315789,0.8225,8.832,15.872,-1.886,DeMarre Carroll,2012,348,0,19,16,12,18,1,11,25,3,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2367,8.7,1.7,10.8,0.302,9.1,2.8,0.216,9.9,0.535,0.285714286,0.765306122,8.5,16.4,1.3,DeMarre Carroll,2013,1111,0.9,70,98,58,61,24,34,26,4,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2368,8.9,0.7,14.5,0.22,5.3,2.3,0.417,10,0.575,0.361940299,0.773049645,10.1,15.2,0.7,DeMarre Carroll,2014,2341,1.6,268,141,108,134,21,79,27,5,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2369,8.3,0.7,13.8,0.277,5.3,2.2,0.466,9.7,0.603,0.394736842,0.701657459,9.3,16.9,1.7,DeMarre Carroll,2015,2189,2,304,181,94,118,17,75,28,6,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2370,5.5,0.6,13.1,0.185,4.6,2.9,0.437,8.9,0.49,0.389830508,0.6,8.8,18.5,0.3,DeMarre Carroll,2016,786,0.5,118,50,44,27,6,28,29,7,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2371,5.7,1.2,12.7,0.213,3.8,2.2,0.582,8.3,0.53,0.340625,0.760683761,8.2,15.6,0,DeMarre Carroll,2017,1882,1,320,117,81,74,27,54,30,8,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2372,10.5,1,18.4,0.313,5.1,1.3,0.498,11.7,0.55,0.37084399,0.764227642,10.3,19.8,0.2,DeMarre Carroll,2018,2180,1.2,391,246,59,147,30,103,31,9,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2373,7.2,0.5,17.3,0.421,4.2,0.9,0.539,10.8,0.546,0.341935484,0.760330579,9.7,18.6,-1.5,DeMarre Carroll,2019,1703,0.2,310,242,31,85,10,73,32,10,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2374,11.213,1.512,15.914,0.63965,4.381,1.283,0.49729,10.121,0.51173,0.240961538,0.691545455,16.713,14.77,-3.873,DeMarre Carroll,2020,290,-0.2,33,42,8,25,5,17,33,11,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2375,3,2.1,12.4,0.234,2.4,1.2,0.161,7.4,0.485,0.257142857,0.666666667,11.1,15.3,-4.5,DeQuan Jones,2013,803,-0.5,35,51,19,16,22,30,22,1,Miami ,DeQuan Jones Miami ,DeQuan Jones miami-fl
2376,37.1,0,14.8,0.2,4.9,4.5,0.4,9.8,0.322,0,0.5,15.5,25,-5.8,DeVaughn Akoon-Purcell,2019,22,0,4,2,2,6,0,2,25,1,Illinois State ,DeVaughn Akoon-Purcell Illinois State ,DeVaughn Akoon-Purcell illinois-state
2383,23.8,0,6.3,0.196,0,1.1,0.283,3.1,0.42,0.153846154,0.666666667,18,18.5,-9.3,Dean Oliver,2002,139,-0.3,13,9,3,21,0,11,23,1,Iowa ,Dean Oliver Iowa ,Dean Oliver iowa
2384,35.4,0,9.1,0.276,9.3,3.8,0.207,9.2,0.338,0.166666667,0.875,23.5,19.5,-1.6,Dean Oliver,2003,93,0,6,8,7,23,0,10,24,2,Iowa ,Dean Oliver Iowa ,Dean Oliver iowa
2385,4,4.8,25.3,0.077,4.6,1.4,0.308,14.9,0.744,0.5,0,18.2,9.9,-1.2,Dean Wade,2020,71,0,4,1,2,2,4,3,23,1,Kansas State ,Dean Wade Kansas State ,Dean Wade kansas-state
2386,9.6,2.6,26.1,0.217,11.1,1.3,0.005,18.5,0.608,0,0.746031746,11.7,21.2,0.2,Deandre Ayton,2019,2183,1.2,4,189,61,125,67,126,20,1,Arizona,Deandre Ayton Arizona,Deandre Ayton arizona
2387,9.7,4.1,26.3,0.157,13,1,0.023,19.6,0.568,0.230769231,0.752808989,11.6,23.7,0.4,Deandre Ayton,2020,1236,0.7,13,89,26,72,58,80,21,2,Arizona,Deandre Ayton Arizona,Deandre Ayton arizona
2388,24.6,0.3,9.4,0.285,2.5,2.4,0.547,5.9,0.472,0.295918367,0.764705882,15.5,21.5,-1,Dedric Willoughby,2000,508,0.1,98,51,23,66,2,37,25,1,Iowa State ,Dedric Willoughby Iowa State ,Dedric Willoughby iowa-state
2389,22.5,0.4,7.4,0.257,2.5,2.1,0.056,5.2,0.523,0.205882353,0.872611465,16.7,17.7,-0.9,Dee Brown,1991,1945,0.5,34,157,83,344,14,137,22,1,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2390,25.6,0.5,7.6,0.223,2,1.9,0.063,4.9,0.472,0.227272727,0.769230769,13.3,21.6,-1.6,Dee Brown,1992,883,0.1,22,78,33,164,7,59,23,2,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2391,28.1,0.9,10,0.345,2.3,3.1,0.117,6.2,0.541,0.317073171,0.79338843,14.4,18.2,3,Dee Brown,1993,2254,2.8,82,242,138,461,32,136,24,3,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2392,18.2,1,9.4,0.214,2.5,2.7,0.094,5.9,0.533,0.3125,0.831050228,10.1,18.8,1.5,Dee Brown,1994,2867,2.5,96,219,156,347,47,126,25,4,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2393,16.7,1.2,7.8,0.284,2.6,2,0.335,5.1,0.562,0.385321101,0.85198556,11.7,19.3,2.1,Dee Brown,1995,2792,2.9,327,277,110,301,49,146,26,5,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2394,14.3,0.5,7.2,0.256,2.5,2.5,0.357,4.8,0.507,0.309090909,0.85443038,9.7,20.5,-0.5,Dee Brown,1996,1591,0.6,220,158,80,146,12,74,27,6,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2395,19.6,1,9.6,0.133,1.6,3,0.392,5.3,0.455,0.307692308,0.818181818,12,16.4,-1,Dee Brown,1997,522,0.1,65,22,31,67,7,24,28,7,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2396,14.852,0.971,9.095,0.1259,1.512,2.482,0.48116,5.083,0.55368,0.396887532,0.799626246,10.965,16.901,0.472,Dee Brown,1998,1719,1,271,71,82,154,23,73,29,8,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2397,18.8,0.4,7.5,0.111,1.2,2.2,0.705,4.3,0.529,0.386819484,0.727272727,13.4,19.7,0.7,Dee Brown,1999,1377,1,349,55,56,143,8,80,30,9,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2398,20.7,0.5,7.7,0.062,1.4,1.9,0.725,4.5,0.498,0.35828877,0.6875,12.8,20,-0.5,Dee Brown,2000,673,0.3,187,16,24,86,5,39,31,10,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2399,11.9,0,8.1,0.114,0,1.3,0.727,3.9,0.519,0.375,0.8,13.2,15.2,-2.4,Dee Brown,2001,155,0,32,5,4,12,0,7,32,11,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2400,4.2,1.1,15.6,0,0,2.4,0.6,7.7,0.175,0.083333333,0,16.7,16.5,-13.2,Dee Brown,2002,65,-0.2,12,0,3,2,1,4,33,12,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2401,26.2,1.3,8.6,0.378,2.2,2.6,0.286,5.4,0.411,0.214285714,0.648648649,21.3,14.5,-1.8,Dee Brown,2007,450,0,28,37,22,83,7,31,22,1,Illinois,Dee Brown Jacksonville,Dee Brown illinois
2402,19.775,0,10.141,0.10452,3.026,2.047,0.49295,6.55,0.44903,0.2945,0.406666667,24.722,11.864,-5.125,Dee Brown,2009,261,-0.2,24,5,10,36,0,17,24,2,Illinois,Dee Brown Jacksonville,Dee Brown illinois
2417,22.6,1.5,12.4,0.259,2.2,1.3,0.198,7.4,0.503,0.391304348,0.7,22.7,23.5,-4.8,Dejounte Murray,2017,322,-0.2,23,30,8,48,6,38,20,1,Washington,Dejounte Murray Washington,Dejounte Murray washington
2418,20.2,1.5,22.4,0.243,7,2.8,0.056,14.6,0.485,0.264705882,0.709459459,16.6,20.7,0.5,Dejounte Murray,2018,1743,1.1,34,148,97,231,31,134,21,2,Washington,Dejounte Murray Washington,Dejounte Murray washington
2419,23.1,0.9,20.1,0.179,4.4,3.1,0.174,12.2,0.524,0.369369369,0.798245614,15.4,20.8,0.4,Dejounte Murray,2020,1687,1,111,114,111,271,17,125,23,3,Washington,Dejounte Murray Washington,Dejounte Murray washington
2420,12.9,0,0,0.333,0,8.8,0,0,0.291,0,0,12.7,29.5,-8,Dell Demps,1994,11,0,0,2,2,1,0,1,23,1,Pacific ,Dell Demps Pacific ,Dell Demps pacific
2421,15.9,0.8,8.6,0.515,2.7,1.8,0.061,5.8,0.655,0.5,0.823529412,22.9,27.1,-1.8,Dell Demps,1996,87,0,2,17,3,8,1,12,25,2,Pacific ,Dell Demps Pacific ,Dell Demps pacific
2422,0,0,0,0.667,0,5.4,0.333,0,0.258,0,1,0,17.9,-4.2,Dell Demps,1997,10,0,1,2,1,0,0,0,26,3,Pacific ,Dell Demps Pacific ,Dell Demps pacific
2423,22.5,1.1,14.3,0.438,4.1,1.8,0.163,9.3,0.54,0.384615385,0.742857143,14.4,22.1,0.9,Delon Wright,2016,229,0.2,13,35,8,31,3,16,23,1,Utah,Delon Wright Utah,Delon Wright utah
2424,18.2,2.1,8.1,0.474,4.1,3.1,0.259,6.1,0.535,0.333333333,0.763636364,15.1,16.6,2,Delon Wright,2017,446,0.5,30,55,27,57,11,25,24,2,Utah,Delon Wright Utah,Delon Wright utah
2425,19.6,1.8,11.7,0.271,3.6,2.5,0.354,7.7,0.574,0.366013072,0.829059829,13.9,17.2,3.3,Delon Wright,2018,1433,1.9,153,117,72,200,33,78,25,3,Utah,Delon Wright Utah,Delon Wright utah
2426,21.547,1.588,12.826,0.26816,4.424,2.547,0.30089,8.628,0.52324,0.297179487,0.809031129,10.964,18.087,1.465,Delon Wright,2019,1699,1.4,168,150,88,248,30,77,26,4,Utah,Delon Wright Utah,Delon Wright utah
2427,21,1.2,13.8,0.243,4.7,2.6,0.309,9.4,0.554,0.37007874,0.77,13.8,14.4,1.9,Delon Wright,2020,1570,1.5,127,100,85,244,22,73,27,5,Utah,Delon Wright Utah,Delon Wright utah
2428,16.4,1.2,11.5,0.174,3.3,2.1,0.432,7.5,0.524,0.358208955,0.703703704,12.6,17,-0.2,Delonte West,2005,507,0.2,67,27,21,53,8,24,21,1,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2429,22.5,1.5,11.4,0.148,2.9,1.8,0.319,7.3,0.574,0.385321101,0.851485149,15.4,16.4,1.9,Delonte West,2006,2418,2.4,218,101,84,329,46,133,22,2,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2430,23.5,1.2,9.7,0.275,1.7,1.7,0.248,5.6,0.526,0.365168539,0.852791878,14.8,19.3,0.4,Delonte West,2007,2219,1.3,178,197,74,304,34,140,23,3,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2431,23.488,1.477,11.923,0.19575,2.265,1.994,0.29131,7.041,0.49682,0.354021248,0.731217949,18.369,18.21,-0.733,Delonte West,2008,1533,0.5,135,91,59,229,29,117,24,4,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2432,16.6,0.5,9.2,0.173,1.8,2.4,0.365,5.6,0.559,0.399122807,0.833333333,12,16.7,1.7,Delonte West,2009,2152,2,228,108,94,226,13,92,25,5,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2433,20,1.4,10.6,0.326,2.4,1.9,0.177,6.7,0.53,0.324675325,0.809859155,15.3,18.3,0.7,Delonte West,2010,1500,1,77,142,55,196,28,90,26,6,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2434,22,1.7,8,0.125,1.7,2.3,0.275,5,0.533,0.363636364,0.866666667,19.2,16.6,1.8,Delonte West,2011,453,0.4,33,15,20,64,10,30,27,7,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2435,22.2,0.8,9.3,0.194,1.4,2.9,0.211,5.4,0.539,0.355263158,0.885714286,16.3,20.4,1,Delonte West,2012,1060,0.8,76,70,58,139,11,76,28,8,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2436,3.876,5.304,13.296,0,0,0,0.57356,6.412,0.33444,0.204,0,14.424,27.436,-12.184,Demetris Nichols,2008,44,-0.1,13,0,0,1,3,4,23,1,Syracuse,Demetris Nichols Syracuse,Demetris Nichols syracuse
2437,12.312,5.184,16.128,0.256,0,0,0.218,7.808,0.362,0,0.32,0,31.028,-4.836,Demetris Nichols,2009,14,0,2,2,0,1,1,0,24,2,Syracuse,Demetris Nichols Syracuse,Demetris Nichols syracuse
2438,28.2,0,8,0.167,1.9,0.9,0.278,4.9,0.285,0.2,0.666666667,20.6,18.3,-10.5,Demetrius Calip,1992,58,-0.1,5,3,1,12,0,5,22,1,Michigan ,Demetrius Calip Michigan ,Demetrius Calip michigan
2439,28.2,0,13,1.5,13.2,0,0.25,13.1,0.753,1,0.5,0,17.3,9.8,Demetrius Jackson,2017,17,0.1,1,6,0,3,0,0,22,1,Notre Dame,Demetrius Jackson Notre Dame,Demetrius Jackson notre-dame
2440,15.824,1.027,9.796,0.105,7.074,3.037,0.39141,8.414,0.39814,0.21,0.105,34.459,15.827,-5.182,Demetrius Jackson,2018,80,-0.1,7,2,5,9,1,10,23,2,Notre Dame,Demetrius Jackson Notre Dame,Demetrius Jackson notre-dame
2441,19.6,0,2.6,0.267,5.6,2.4,0.4,4.1,0.656,0.333333333,1,5.6,19.1,4.5,Demetrius Jackson,2019,39,0.1,6,4,2,5,0,1,24,3,Notre Dame,Demetrius Jackson Notre Dame,Demetrius Jackson notre-dame
2442,3.4,1.8,9.6,0.111,1.6,0.3,0.639,5.4,0.424,0.260869565,1,13.7,9.9,-7.5,Deng Adel,2019,194,-0.3,23,4,1,5,4,6,21,1,Louisville ,Deng Adel Louisville ,Deng Adel louisville
2443,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.2,Deng Gai,2006,5,0,0,0,0,0,0,0,23,1,Fairfield ,Deng Gai Fairfield ,Deng Gai fairfield
2444,0,0,16.3,1,10.3,0,0.25,13.2,0.434,0,0.75,14.8,14.1,-8.1,Dennis Horner,2012,22,0,1,4,0,0,0,1,23,1,NC State ,Dennis Horner NC State ,Dennis Horner north-carolina-state
2445,9.3,0.6,8.3,0.172,2.8,1.3,0.282,5.5,0.504,0.374251497,0.75,9.1,24.4,-1.5,Dennis Scott,1991,2336,0.3,334,204,62,134,25,127,22,1,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2446,9.6,0.9,9.8,0.215,2.5,1.6,0.269,6.1,0.496,0.325842697,0.901408451,7.9,26.9,-0.4,Dennis Scott,1992,608,0.2,89,71,20,35,9,31,23,2,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2447,12.2,0.6,9,0.153,2.6,1.6,0.351,6,0.527,0.402985075,0.786324786,11.3,22.5,0.5,Dennis Scott,1993,1759,1.1,268,117,57,136,18,104,24,3,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2448,13.9,0.9,8,0.168,2.7,1.8,0.409,5.4,0.513,0.399484536,0.773584906,8.4,20.8,0.8,Dennis Scott,1994,2283,1.6,388,159,81,216,32,93,25,4,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2449,12.9,0.6,9,0.177,2,1.5,0.546,5.6,0.577,0.426136364,0.754385965,7.6,21.6,2.5,Dennis Scott,1995,1499,1.7,352,114,45,131,14,57,26,5,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2450,12.4,0.7,9.2,0.199,2.5,1.5,0.562,5.9,0.589,0.425159236,0.81981982,9.1,19.9,2.3,Dennis Scott,1996,3041,3.3,628,222,90,243,29,122,27,6,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2451,11.1,0.7,9.1,0.135,2.1,1.9,0.498,5.5,0.519,0.394101877,0.792079208,9.3,18.6,0,Dennis Scott,1997,2166,1.1,373,101,74,139,19,81,28,7,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2452,11.344,1.156,9.934,0.15434,2.29,1.256,0.41352,6.056,0.50278,0.367412008,0.787853107,10.366,19.698,-1.146,Dennis Scott,1998,2290,0.5,342,130,53,153,39,104,29,8,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2453,8.716,0.328,8.032,0.14372,1.224,1.088,0.4568,4.476,0.51096,0.384300203,0.656666667,7.784,14.96,-1.78,Dennis Scott,1999,738,0.1,97,31,15,40,3,19,30,9,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2454,8.7,0.5,8.6,0.171,1.5,1.2,0.568,5,0.515,0.375661376,0.842105263,7.7,14,-2.2,Dennis Scott,2000,1263,-0.1,189,57,28,69,9,30,31,10,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2455,29.5,0.8,11.8,0.188,2.6,1.7,0.331,7,0.473,0.312684366,0.694300518,14.9,28.9,-2.4,Dennis Smith Jr.,2018,2049,-0.2,339,193,71,358,18,194,20,1,North Carolina State,Dennis Smith Jr. North Carolina State,Dennis Smith Jr. north-carolina-state
2456,27.34,1.12,8.74,0.2392,2.22,2.14,0.3232,5.46,0.5054,0.322062651,0.644100198,17.86,24.78,-1.94,Dennis Smith Jr.,2019,1508,0,208,156,67,252,20,154,21,2,North Carolina State,Dennis Smith Jr. North Carolina State,Dennis Smith Jr. north-carolina-state
2457,26.4,1.4,11.7,0.251,4.1,2.5,0.256,7.7,0.399,0.296296296,0.509433962,19.8,23.1,-6.1,Dennis Smith Jr.,2020,537,-0.6,54,53,28,98,8,58,22,3,North Carolina State,Dennis Smith Jr. North Carolina State,Dennis Smith Jr. north-carolina-state
2458,9.3,0.6,15.6,0.063,1.2,1.5,0.722,8.3,0.492,0.350961538,0.777777778,14.2,15.4,-3.3,Denzel Valentine,2017,976,-0.3,208,18,30,63,7,49,23,1,Michigan State,Denzel Valentine Michigan State,Denzel Valentine michigan-state
2459,17.8,0.5,18.3,0.071,2.4,1.5,0.513,10.1,0.527,0.386486486,0.745098039,11.8,17.5,-1,Denzel Valentine,2018,2095,0.5,370,51,65,244,11,99,24,2,Michigan State,Denzel Valentine Michigan State,Denzel Valentine michigan-state
2460,14.2,1.2,15.5,0.034,1.9,2.6,0.578,8.4,0.511,0.335766423,0.75,9.8,23.3,-0.6,Denzel Valentine,2020,488,0.2,137,8,26,43,6,26,26,3,Michigan State,Denzel Valentine Michigan State,Denzel Valentine michigan-state
2461,5,2.8,10.7,0.146,1.7,1.2,0.329,6,0.47,0.296296296,0.666666667,9.3,16.3,-4.3,Deonte Burton,2019,240,-0.1,27,12,6,9,8,9,25,1,Iowa State ,Deonte Burton Iowa State ,Deonte Burton iowa-state
2462,6.8,2.4,15.1,0.112,2.2,1,0.424,8.8,0.396,0.188679245,0.571428571,12.7,18.5,-6.8,Deonte Burton,2020,356,-0.4,53,14,7,17,10,19,26,2,Iowa State ,Deonte Burton Iowa State ,Deonte Burton iowa-state
2463,7.9,1.6,10.4,0.223,4.7,1.7,0.326,7.6,0.463,0.322834646,0.735632184,17.8,17.7,-3.5,DerMarr Johnson,2001,1313,-0.5,127,87,43,64,30,93,20,1,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2464,7.7,2.4,12.5,0.194,3.9,1.9,0.457,8.2,0.513,0.360323887,0.80952381,14.8,18,-1.3,DerMarr Johnson,2002,1727,0.3,247,105,62,81,56,102,21,2,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2465,6.4,1.8,13.5,0.32,2,1.5,0.371,7.8,0.511,0.361111111,0.903225806,12.6,20.5,-1.8,DerMarr Johnson,2004,287,0,36,31,8,11,7,16,23,3,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2466,9.8,1.1,10,0.272,4,1.8,0.399,7.1,0.605,0.358108108,0.792079208,13.5,17.4,0.3,DerMarr Johnson,2005,1232,0.7,148,101,43,75,18,65,24,4,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2467,9.5,2.1,9.6,0.137,2.4,1.4,0.523,6.1,0.545,0.35,0.80952381,12.4,17.9,-0.8,DerMarr Johnson,2006,924,0.3,160,42,25,55,26,46,25,5,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2468,6,2.1,12.5,0.136,2.7,1.9,0.571,7.7,0.414,0.215909091,0.761904762,14.2,19.5,-4.3,DerMarr Johnson,2007,419,-0.2,88,21,16,17,12,27,26,6,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2469,7.2,0,4.2,0.143,0,1.9,0.643,2.1,0.571,0.333333333,0,0,25.5,2.5,DerMarr Johnson,2008,28,0,9,2,1,1,0,0,27,7,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2470,21.3,0.5,8.7,0.538,3.7,2.5,0.143,6.2,0.531,0.202380952,0.873015873,15,21.4,1.7,Derek Anderson,1998,1839,1.7,84,315,86,227,13,128,23,1,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2471,28.5,0.3,11.5,0.525,2.6,2.7,0.22,7.1,0.529,0.304347826,0.836363636,17.5,23.4,1.6,Derek Anderson,1999,978,0.9,69,165,48,145,4,82,24,2,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2472,17.9,0.3,9.3,0.359,3.9,2.1,0.207,6.5,0.542,0.308988764,0.877022654,14.4,23.4,-0.1,Derek Anderson,2000,2201,1.1,178,309,90,220,11,167,25,3,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2473,18.1,0.3,10.9,0.405,3.1,2.2,0.255,7.2,0.542,0.399209486,0.850746269,12.4,21.9,2.4,Derek Anderson,2001,2859,3.2,253,402,120,301,14,165,26,4,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2474,18.6,0.3,9.1,0.34,2.9,2,0.373,6,0.538,0.372807018,0.855769231,11,19.4,1.6,Derek Anderson,2002,1860,1.7,228,208,68,216,8,87,27,5,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2475,20.7,0.5,10,0.323,2.5,1.9,0.398,6.2,0.556,0.350453172,0.858736059,11.9,19.5,2.3,Derek Anderson,2003,2556,2.8,331,269,90,325,16,128,28,6,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2476,21.1,0.1,10.2,0.307,1.7,2,0.423,6,0.499,0.305019305,0.824468085,11.5,20.5,0.3,Derek Anderson,2004,1810,1,259,188,66,228,3,90,29,7,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2477,18.9,0.2,9.2,0.223,2.4,1.6,0.386,6,0.503,0.38410596,0.804597701,14,18.5,-1.2,Derek Anderson,2005,1239,0.2,151,87,36,143,4,70,30,8,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2478,15.66,0.468,13.352,0.3648,2.456,1.18,0.44332,8.048,0.49444,0.296716418,0.838471521,13.144,18.26,-1.196,Derek Anderson,2006,1047,0.2,134,111,23,101,6,54,31,9,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2479,17.6,0.5,8.6,0.361,2.8,2.3,0.517,5.6,0.586,0.355263158,0.877358491,14.1,15.1,0.4,Derek Anderson,2007,1190,0.7,152,106,52,133,7,56,32,10,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2480,17.8,0.2,12.6,0.304,2.6,1.6,0.416,7.5,0.497,0.365384615,0.736842105,15,19.3,-3.2,Derek Anderson,2008,396,-0.1,52,38,12,44,1,25,33,11,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2481,20.1,0.4,8.8,0.458,3.1,2.3,0.279,6,0.491,0.301369863,0.658333333,18.4,18.8,-2.7,Derek Fisher,1997,921,-0.1,73,120,41,119,5,71,22,1,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2482,27,0.2,9.7,0.402,2.5,2.2,0.214,6.2,0.533,0.382716049,0.756578947,21.1,14.1,0,Derek Fisher,1998,1760,0.9,81,152,75,333,5,119,23,2,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2483,25.8,0.1,7.1,0.3,2.2,2.8,0.369,4.7,0.497,0.391752577,0.759493671,20.5,14.9,-0.6,Derek Fisher,1999,1131,0.4,97,79,61,197,1,77,24,3,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2484,17.1,0.1,7.1,0.3,1.3,2.3,0.344,4.2,0.449,0.313253012,0.724137931,12.1,15.1,-1.6,Derek Fisher,2000,1803,0.2,166,145,80,216,3,75,25,4,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2485,18.3,0.2,8.5,0.332,0.8,2.9,0.337,4.7,0.534,0.396825397,0.806451613,11.9,15.4,0.2,Derek Fisher,2001,709,0.4,63,62,39,87,2,29,26,5,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
