assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
10.2,57,6.1,66,11,,2.4,28.2,287,2.1,0.625,451,0.612,276,0.424,191,0.733,140,35,35,85,1172,8.6,13.5,118,5.5,81,32.6,deandre-ayton-1,704,666,Forward,1,20,arizona,0.078,35,0.343,12,21.4,405,0.65,11.3,69,416,0.635,264,26.6,250,7.6,0.259,Deandre Ayton,Career,1,1.95,2.25,9.8,6.52,4.78,4.03,2.76,24.03,0.68,1.19,0.41,13.82,2.35,14.2,9.01
14.1,178,1.1,24,5.1,,2,14.2,314,3.7,0.501,799,0.438,350,0.318,254,0.776,197,89,71,79,2386,3.1,2.6,55,4.2,133,16.2,deng-adel-1,998,950,Forward,1.1,47,louisville,0.363,290,0.348,101,8.6,369,0.543,13.9,148,509,0.489,249,22.3,190,8,0.134,Deng Adel,Career,3,2.98,0.4,5.26,4.26,3.3,0.92,2.23,16.73,0.79,4.86,1.69,6.19,2.48,8.53,4.17
16.5,264,0.9,20,6.7,,4.2,14.9,363,6.5,0.498,728,0.419,305,0.271,197,0.807,159,128,89,77,3075,2.6,1.9,44,5.2,183,14.9,devon-hall-1,884,899,Guard,1.6,73,virginia,0.407,296,0.389,115,8.5,407,0.538,12.3,115,432,0.44,190,17.6,210,11.6,0.152,Devon Hall,Career,4,3.43,0.26,4.72,2.56,2.07,0.57,2.38,11.5,0.95,3.85,1.5,5.29,1.5,5.62,2.47
23.6,632,0.3,14,8.3,,3.1,8.9,377,6.4,0.536,1295,0.422,546,0.355,460,0.787,362,142,111,74,4498,5.2,1.7,62,12,237,18.2,devonte-graham-1,1750,1866,Guard,2.5,197,kansas,0.558,723,0.409,296,5.5,439,0.578,15.1,270,572,0.437,250,19.7,175,18.4,0.164,Devonte Graham,Career,4,5.62,0.12,3.35,4.09,3.22,0.55,2.11,15.56,1.75,6.43,2.63,3.9,2.4,5.09,2.22
9.1,91,0.9,23,-2.8,,-1.4,13.8,317,3.1,0.432,1035,0.39,404,0.487,504,0.704,355,72,72,79,2345,-1.3,3.3,74,0.3,153,14.2,dikembe-dixson-1,1250,1127,Forward,2.1,90,illinois-chicago,0.267,276,0.315,87,8.6,391,0.49,16.3,249,759,0.418,317,30.5,190,3.3,0.057,Dikembe Dixson,Career,3,1.55,0.39,5.41,8.6,6.06,1.26,2.61,21.32,1.54,4.71,1.48,6.67,4.25,12.95,5.41
15.6,194,2.5,53,5.7,,2.8,13.2,293,3.7,0.502,746,0.398,297,0.2,149,0.658,98,91,52,80,2314,3,4.5,94,3.2,157,15.2,dj-hogg-1,847,822,Forward,1.7,68,texas-am,0.578,431,0.36,155,9,387,0.519,14.2,135,315,0.451,142,20.2,216,6.9,0.12,DJ Hogg,Career,3,3.35,0.92,5.06,2.58,1.69,1.62,2.71,14.64,1.18,7.45,2.68,6.69,2.33,5.45,2.45
13.1,220,2.7,84,5,,2.1,12.9,387,4.7,0.496,972,0.414,402,0.191,186,0.726,135,114,113,80,3448,2.9,5.3,155,4.7,189,15.4,donte-grantham-1,1100,1096,Forward,1.7,98,clemson,0.498,484,0.333,161,9.1,542,0.519,13.7,169,488,0.494,241,18.8,205,9.4,0.109,Donte Grantham,Career,4,2.55,0.97,4.49,2.16,1.57,1.8,2.19,12.76,1.14,5.61,1.87,6.29,1.96,5.66,2.8
9.3,142,1.2,33,6.6,,2.1,10.4,240,3.8,0.606,785,0.455,357,0.178,140,0.864,121,115,49,80,2863,4.5,2.3,52,7.3,250,16.8,duncan-robinson-1,1072,957,Forward,1.4,65,michigan,0.72,565,0.419,237,6.4,292,0.629,8.6,80,220,0.545,120,17.8,190,11.1,0.155,Duncan Robinson,Career,4,1.98,0.46,3.35,1.96,1.69,0.73,3.49,14.98,0.91,7.89,3.31,4.08,1.12,3.07,1.68
14.2,279,5.1,180,10.5,,4.7,20.1,710,10.9,0.551,1033,0.525,542,0.449,464,0.698,324,139,137,79,4003,5.8,12.6,422,12.8,272,25.5,gary-clark-2,1462,1530,Forward,2.5,163,cincinnati,0.136,141,0.383,54,16.4,1132,0.583,11.2,158,892,0.547,488,18.4,230,23.7,0.237,Gary Clark,Career,4,2.79,1.8,7.09,4.64,3.24,4.22,2.72,14.61,1.63,1.41,0.54,11.31,1.58,8.91,4.88
6.5,88,1.4,37,3.6,,0.6,19.1,498,3.8,0.534,1001,0.444,444,0.308,308,0.731,225,127,89,78,2866,3,7.2,183,5.1,224,17.4,george-king-1,1294,1175,Guard,1,50,colorado,0.451,451,0.401,181,13.2,681,0.564,14.6,196,550,0.478,263,23.1,220,8.9,0.124,George King,Career,4,1.23,0.52,6.95,4.3,3.14,2.55,3.13,18.06,0.7,6.29,2.53,9.5,2.74,7.68,3.67
