level_0,assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,col_lkup,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,max_mp,year,all_star_flag,class
2007-08,30.4,0.9,,cusa,,,3.8,0.517,436,0.477,208,0.47,0.712,40,39,75,1168,,,2.8,,derrick-rose-1,,Guard,,memphis,0.239,0.337,8.3,0.56,16.7,0.521,26,190,6.6,0.226,Derrick Rose,2007,1,Derrick Rose memphis,6.47,0.51,4.35,7.02,5,1.85,2.33,20.45,1.64,3.56,1.2,6.2,3.66,11.37,5.92,3026,2010,1,all_star
2010-11,8.7,2.3,12.1,pac-10,2.5,21.9,1.9,0.65,380,0.595,226,0.871,0.746,38,38,80,1141,9.6,11.8,6,32.8,derrick-williams-2,675,Forward,1.9,arizona,0.195,0.568,17,0.69,15.7,0.601,28.9,235,7.9,0.279,Derrick Williams,2010,2,Derrick Williams arizona,1.51,0.91,7.33,11.6,8.66,3.68,3.72,25.98,1.3,2.59,1.47,11.01,3.51,10.73,6.45,1916,,0,role_player
1999-00,,,,big-12,,,3.2,0.574,423,0.499,211,0.385,0.767,34,34,79,1202,,,4.3,,desmond-mason-1,,Forward,,oklahoma-state,0.352,0.43,,0.61,10.7,0.536,,224,7.5,0.25,Desmond Mason,1999,4,Desmond Mason oklahoma-state,1.73,1.1,,5.42,4.16,,2.3,20.33,1.36,4.96,2.13,7.49,2,9.12,4.89,2763,,0,starter
2014-15,10.9,0.3,9.4,sec,3.3,7.8,1.8,0.571,287,0.47,135,0.223,0.828,38,0,78,816,6.1,2.6,2.7,19.4,devin-booker-2,324,Guard,1.3,kentucky,0.491,0.411,5.4,0.6,10.4,0.527,22.8,206,4.5,0.219,Devin Booker,2014,1,Devin Booker kentucky,2.06,0.1,2.89,3.14,2.6,0.83,2.84,18.68,0.83,6.91,2.84,3.73,1.81,7.16,3.77,2730,,0,starter
2001-02,19.2,0.5,,southland,,,2.4,0.459,402,0.403,162,0.493,0.727,28,23,77,905,,,1.4,,devin-brown-1,,Guard,,texas-san-antonio,0.306,0.366,13.2,0.517,13.4,0.419,28.5,220,3.9,0.17,Devin Brown,2001,4,Devin Brown texas-san-antonio,3.45,0.27,7.56,8.75,6.36,2.74,3.14,22.67,2.12,5.44,1.99,10.3,3.4,12.33,5.17,1711,,0,role_player
2003-04,28.8,0.3,,big-ten,,,3,0.55,412,0.459,189,0.524,0.792,32,32,75,1162,,,4.8,,devin-harris-1,,Guard,,wisconsin,0.488,0.373,7.7,0.606,11.4,0.54,27.6,185,7.8,0.267,Devin Harris,2003,3,Devin Harris wisconsin,4.85,0.14,4.1,7.44,5.89,0.69,2.13,21.48,1.93,6.92,2.58,4.78,2.27,7.26,3.92,2081,,0,role_player
2012-13,5.8,10,5.4,pac-12,5.2,26.6,1.6,0.5,176,0.5,88,0.267,0.681,31,29,85,691,0.2,11.7,0.6,20.1,dewayne-dedmon-1,213,Forward,2.9,southern-california,0.017,0,18.9,0.524,19.8,0.509,18.5,255,2.2,0.127,Dewayne Dedmon,2012,2,Dewayne Dedmon southern-california,1.1,3.82,8.45,2.72,1.85,4.05,5.38,12.04,1.97,0.17,0,12.5,2.84,10.01,5.09,1330,,0,role_player
2009-10,5.1,8.9,,big-12,,15.3,1.3,0.654,214,0.654,140,0.631,0.556,34,34,82,648,,16.6,2.1,,dexter-pittman-1,333,Center,1,texas,0,,15.9,0.638,17.7,0.654,23.6,290,3.4,0.213,Dexter Pittman,2009,4,Dexter Pittman texas,1.05,3.89,6.05,8.33,4.63,6.23,5.56,21.91,0.74,0,0,12.28,3.7,13.21,8.64,301,,0,scrub
1993-94,,,,big-east,,,,0.522,250,0.516,129,0.548,0.686,30,,81,877,,,,,dickey-simpkins-1,,Center,,providence,0.036,0.333,,0.563,15.3,0.523,,248,,,Dickey Simpkins,1993,4,Dickey Simpkins providence,1.73,0.96,,6.25,4.29,,2.87,16.19,1,0.41,0.14,8.62,2.6,10.99,5.75,685,,0,scrub
1997-98,,,,acc,,,1.7,0.486,503,0.441,222,0.37,0.64,33,,77,,,,1.7,,dion-glover-1,,Guard,,georgia-tech,0.33,0.271,,0.514,,0.525,,228,3.4,,Dion Glover,1997,1,Dion Glover georgia-tech,,,,,,,,,,,,,,,,1890,,0,role_player
2011-12,21.2,1.5,10.8,big-east,4.8,8.8,1.7,0.534,357,0.476,170,0.331,0.729,37,0,76,891,6,2.4,3.2,26.3,dion-waiters-1,430,Guard,4.6,syracuse,0.317,0.363,5.6,0.565,10.4,0.529,26.7,215,5,0.223,Dion Waiters,2011,2,Dion Waiters syracuse,4.13,0.54,3.01,5.3,3.86,0.81,3.1,20.97,3.01,5.07,1.84,3.82,2.15,10.95,5.79,2208,,0,starter
2006-07,,,,wac,,,4.4,0.502,325,0.471,153,0.557,0.586,32,32,81,1054,,,1.4,,dominic-mcguire-1,,Guard,,fresno-state,0.206,0.299,,0.526,22.5,0.516,,220,5.8,0.219,Dominic McGuire,2006,3,Dominic McGuire fresno-state,3.95,4.33,9.26,6.87,4.02,2.66,3.45,16.39,1.06,2.54,0.76,11.92,4.52,9.79,5.05,2072,,0,role_player
1991-92,,,,pac-10,,,,0.511,454,0.504,229,0.471,0.921,32,32,82,1033,,,,,don-maclean-1,,Forward,,ucla,0.037,0.353,,0.595,13.1,0.51,,235,,,Don MacLean,1991,4,Don MacLean ucla,2.56,0.19,,8.29,7.63,,2.9,25.6,0.66,0.66,0.23,9.6,3.25,16.92,8.64,2487,,0,starter
1994-95,,,,big-east,,,,0.595,148,0.595,88,0.615,0.516,31,,80,731,,,,,don-reid-1,,Forward,,georgetown,0,,,0.583,18.7,0.595,,250,,,Don Reid,1994,4,Don Reid georgetown,1.42,3.28,,4.98,2.57,,6.18,12.2,1.7,0,0,9.74,2.41,8.1,4.82,997,,0,scrub
1990-91,,,,atlantic-10,,,,0.535,275,0.535,147,0.513,0.716,34,,85,1187,,,,,donald-hodge-1,,Center,,temple,0,,,0.578,13.9,0.535,,230,,,Donald Hodge,1990,2,Donald Hodge temple,1.18,1.01,,4.75,3.4,,2.8,13.31,0.78,0,0,7.89,1.85,9.27,4.95,1267,,0,scrub
2009-10,16.8,0.2,,big-12,,9.9,1.5,0.497,450,0.444,200,0.453,0.77,34,34,75,1130,,2.3,3.1,,donald-sloan-1,552,Guard,1.2,texas-am,0.287,0.364,6.1,0.552,12.8,0.477,28.3,205,4.6,0.163,Donald Sloan,2009,4,Donald Sloan texas-am,2.8,0.07,3.5,7.22,5.56,0.81,1.98,21.38,0.78,4.57,1.66,4.32,2.83,11.36,5.42,1107,,0,scrub
1999-00,,,,sec,,,2.7,0.507,284,0.507,144,0.496,0.61,37,,80,746,,,1.3,,donnell-harvey-1,,Center,,florida,0.004,0,,0.533,14.6,0.509,,220,4,0.216,Donnell Harvey,1999,1,Donnell Harvey florida,1.98,1.66,,7.56,4.61,,5.42,20.05,1.45,0.05,0,13.83,3.22,15.17,7.72,1613,,0,role_player
1994-95,,,,big-east,,,,0.488,379,0.456,173,0.433,0.829,32,32,79,976,,,,,donny-marshall-1,,Forward,,connecticut,0.243,0.261,,0.554,13.6,0.519,,230,,,Donny Marshall,1994,4,Donny Marshall connecticut,1.8,0.2,,6.72,5.57,,2.95,20.74,1.52,3.77,0.98,7.66,2.95,11.76,6.11,548,,0,scrub
1993-94,,,,great-midwest,,,,0.479,384,0.422,162,0.378,0.669,29,,80,834,,,,,dontonio-wingfield-1,,Forward,,cincinnati,0.284,0.404,,0.513,15.3,0.429,,256,,,Dontonio Wingfield,1993,1,Dontonio Wingfield cincinnati,2.78,0.58,,6.95,4.65,,4.36,22.3,1.87,5.23,2.11,12.47,3.93,13.19,5.66,569,,0,scrub
1993-94,,,,big-east,,,,0.546,600,0.512,307,0.443,0.752,34,34,81,1157,,,,,donyell-marshall-1,,Forward,,connecticut,0.22,0.311,,0.589,11.9,0.568,,218,,,Donyell Marshall,1993,3,Donyell Marshall connecticut,1.94,3.84,,9.2,6.91,,2.42,29.56,1.49,4.56,1.42,10.44,3.39,16.18,9.2,2611,,0,starter
1991-92,,,,wcc,,,,0.51,453,0.466,211,0.426,0.746,31,31,78,1058,,,,,doug-christie-1,,Guard,,pepperdine,0.265,0.333,,0.556,17.9,0.514,,200,,,Doug Christie,1991,3,Doug Christie pepperdine,5.63,0.79,,7.3,5.44,,2.95,22.91,2.34,4.54,1.51,6.92,4.5,12.59,6.47,1515,,0,role_player
2013-14,11.5,0.5,10.9,big-east,-0.5,17.8,1.4,0.603,627,0.526,330,0.329,0.864,35,35,80,1181,11.4,6.4,6.3,32.8,doug-mcdermott-1,788,Forward,0.4,creighton,0.341,0.449,12.6,0.644,7.9,0.567,36.2,225,7.7,0.261,Doug McDermott,2013,4,Doug McDermott creighton,1.86,0.17,6.33,6.98,6.03,1.93,2.27,31.63,0.27,7.25,3.25,8.26,2.1,13.99,7.93,1861,,0,role_player
1990-91,,,,maac,,,,0.506,447,0.445,199,0.286,0.828,25,,75,959,,,,,doug-overton-1,,Guard,,la-salle,0.358,0.338,,0.549,15.2,0.505,,190,,,Doug Overton,1990,4,Doug Overton la-salle,5.17,0,,5.34,4.42,,2.59,23.27,2.04,6.67,2.25,4.34,3.8,11.97,6.05,1704,,0,role_player
1990-91,,,,big-8,,,,0.5,553,0.497,275,0.344,0.821,30,,82,1051,,,,,doug-smith-1,,Forward,,missouri,0.033,0.167,,0.551,14.1,0.508,,220,,,Doug Smith,1990,4,Doug Smith missouri,3.65,1.6,,7.23,5.94,,3.77,26.98,2.44,0.69,0.11,11.84,4.03,20.36,10.35,1707,,0,role_player
2011-12,24.2,3.3,12.1,big-ten,5.6,30.7,3.6,0.504,472,0.449,212,0.367,0.723,37,36,79,1229,6.5,8.2,3.5,26.1,draymond-green-1,610,Forward,2.7,michigan-state,0.284,0.388,19.8,0.542,16.8,0.473,28.2,230,7.1,0.23,Draymond Green,2011,4,Draymond Green michigan-state,4.59,1.14,10.25,5.63,4.07,2.57,3.42,19.56,1.76,4.36,1.69,12.82,3.65,11,5.21,2808,2016,1,all_star
2001-02,,,,big-12,,,3.8,0.512,566,0.504,285,0.36,0.755,37,36,82,1119,,,2.8,,drew-gooden-1,,Forward,,kansas,0.064,0.278,,0.554,14,0.519,,230,6.6,0.235,Drew Gooden,2001,3,Drew Gooden kansas,2.61,1.89,10.62,7.29,5.5,4.5,3.25,26.24,2.32,1.29,0.36,15.12,3.86,18.95,9.83,2523,,0,starter
1989-90,,,,atlantic-10,,,,0.486,107,0.486,52,0.486,0.596,12,,85,416,,,,,duane-causwell-1,,Center,,temple,0,,,0.513,8.4,0.486,,240,,,Duane Causwell,1989,3,Duane Causwell temple,0.87,4.62,,5,2.98,,3.08,12.98,0.48,0,0,9.52,1.15,10.29,5,2291,,0,starter
2004-05,5.7,6.5,,atlantic-10,,,4.5,0.507,227,0.507,115,1.093,0.536,36,36,83,1254,,,1.4,,dwayne-jones-1,,Center,,saint-josephs,0,,20.1,0.526,17.9,0.507,18.3,250,5.9,0.189,Dwayne Jones,2004,3,Dwayne Jones saint-josephs,0.99,3.48,8.36,7.91,4.24,4.98,2.71,11.58,0.41,0,0,13.33,2.39,7.24,3.67,472,,0,scrub
1989-90,,,,sec,,,,0.552,163,0.552,90,0.233,0.789,11,,85,355,,,,,dwayne-schintzius-1,,Center,,florida,0.049,0,,0.58,17,0.581,,260,,,Dwayne Schintzius,1989,4,Dwayne Schintzius florida,1.69,3.15,,4.28,3.38,,4.62,23.66,1.24,0.9,0,11.83,4.17,17.46,10.14,400,,0,scrub
2013-14,20.4,2.8,5.7,pac-12,3,17.3,2,0.475,379,0.462,175,0.557,0.687,36,36,82,1167,2.7,7.3,1.8,19.7,dwight-powell-1,537,Forward,2.4,stanford,0.103,0.256,12.5,0.527,17.8,0.485,26,240,3.8,0.131,Dwight Powell,2013,4,Dwight Powell stanford,3.84,1.03,6.07,7.23,4.97,2.4,3.87,17.31,1.61,1.34,0.34,8.47,3.56,11.65,5.66,1672,,0,role_player
2002-03,,,,cusa,,,2.9,0.515,501,0.501,251,0.497,0.779,33,33,76,1058,,,3.6,,dwyane-wade-1,,Guard,,marquette,0.088,0.318,,0.573,14.7,0.519,,212,6.5,0.246,Dwyane Wade,2002,2,Dwyane Wade marquette,5.48,1.63,5.63,9.41,7.33,2.27,2.87,26.84,2.68,1.66,0.53,7.9,4.05,17.28,8.96,2974,2005,1,all_star
2002-03,,,,cusa,,,1.7,0.395,166,0.392,65,0.548,0.813,26,15,85,555,,,0.3,,earl-barron-1,,Center,,memphis,0.06,0.1,,0.49,12.2,0.41,,245,2,0.144,Earl Barron,2002,4,Earl Barron memphis,1.59,1.95,5.91,6.56,5.33,4.32,6.13,14.77,0.58,0.72,0.07,10.23,2.09,11.24,4.61,889,,0,scrub
1997-98,,,,mac,,,1,0.548,563,0.472,266,0.281,0.816,29,,65,,,,4.2,,earl-boykins-1,,Guard,,eastern-michigan,0.371,0.407,,0.585,,0.511,,135,5.2,,Earl Boykins,1997,4,Earl Boykins eastern-michigan,,,,,,,,,,,,,,,,761,,0,scrub
2008-09,,,,big-east,,,4.2,0.492,442,0.457,202,0.314,0.647,37,36,81,1269,,,1.6,,earl-clark-1,,Forward,,louisville,0.215,0.326,,0.517,19,0.493,,225,5.8,0.184,Earl Clark,2008,3,Earl Clark louisville,3.75,1.61,6.93,4.38,2.84,3.22,2.24,16.55,1.2,2.99,0.98,10.15,3.75,10.94,5.39,1363,,0,role_player
2000-01,,,,pac-10,,,1.7,0.547,349,0.493,172,0.401,0.636,32,32,73,1115,,,2.3,,earl-watson-1,,Guard,,ucla,0.309,0.352,,0.567,20.6,0.556,,195,4,0.144,Earl Watson,2000,4,Earl Watson ucla,5.96,0.39,2.65,5.02,3.19,1.54,3.59,16.9,2.22,3.87,1.36,4.2,3.87,8.65,4.81,1808,,0,role_player
2009-10,6.8,9.5,,acc,,24.2,1.3,0.578,192,0.578,111,0.688,0.659,23,23,82,641,,10.8,1.8,,ed-davis-1,282,Forward,0.9,north-carolina,0,,17.6,0.607,15.3,0.578,21.5,225,3.1,0.194,Ed Davis,2009,2,Ed Davis north-carolina,1.37,3.99,9.61,8.24,5.43,4.12,2.62,19.28,0.62,0,0,13.73,2.87,11.98,6.93,1631,,0,role_player
1999-00,,,,big-sky,,,1.3,0.474,325,0.394,128,0.532,0.861,28,,73,1009,,,2.4,,eddie-gill-1,,Guard,,weber-state,0.437,0.366,,0.561,21.3,0.415,,190,3.7,0.147,Eddie Gill,1999,2,Eddie Gill weber-state,7.69,0.32,,6.86,5.91,,2.93,18.12,3.57,5.63,2.06,7.1,4.36,7.25,3.01,1021,,0,scrub
2000-01,,,,big-east,,,3.6,0.472,480,0.429,206,0.227,0.734,30,30,82,979,,,1,,eddie-griffin-1,,Forward,,seton-hall,0.267,0.32,,0.501,11.2,0.469,,220,4.6,0.189,Eddie Griffin,2000,1,Eddie Griffin seton-hall,2,5.43,9.36,4.45,3.27,3.84,2.9,21.78,1.06,5.23,1.68,13.2,2.74,14.38,6.74,1896,,0,role_player
1999-00,,,,pac-10,,,2.1,0.481,623,0.422,263,0.263,0.835,32,,73,1189,,,2.4,,eddie-house-1,,Guard,,arizona-state,0.321,0.365,,0.525,9.3,0.449,,180,4.5,0.152,Eddie House,1999,4,Eddie House arizona-state,3.73,0.07,,5.52,4.61,,2.22,24.76,2.49,6.73,2.46,5.89,2.42,14.23,6.39,1230,,0,scrub
1993-94,,,,atlantic-10,,,,0.516,491,0.47,231,0.271,0.662,31,,78,1184,,,,,eddie-jones-1,,Forward,,temple,0.261,0.352,,0.537,8.7,0.512,,190,,,Eddie Jones,1993,3,Eddie Jones temple,1.96,1.55,,4.49,2.97,,2.33,20.1,2.36,4.32,1.52,7.09,1.79,12.26,6.28,2998,1997,1,all_star
2002-03,,,,southland,,,1.2,0.432,139,0.41,57,0.576,0.713,27,27,75,877,,,0.5,,eddie-robinson-1,,Guard,,lamar,0.165,0.261,,0.5,31.9,0.44,,215,1.6,0.075,Eddie Robinson,2002,4,Eddie Robinson lamar,5.43,0.36,4.7,3.65,2.6,0.32,2.1,8.07,1.55,1.05,0.27,5.02,3.79,5.29,2.33,1355,,0,role_player
2009-10,14.4,11,,big-12,,17.7,2.6,0.499,390,0.49,191,0.415,0.685,36,36,82,1264,,12.9,3.4,,ekpe-udoh-1,542,Center,1.4,baylor,0.067,0.269,15.6,0.535,15.7,0.505,22.1,240,6.1,0.192,Ekpe Udoh,2009,3,Ekpe Udoh baylor,3.07,4.21,7.03,5.13,3.51,4.08,2.75,15.82,0.92,0.82,0.22,11.11,2.75,11.52,5.82,1312,,0,role_player
1989-90,,,,acc,,,,0.523,431,0.522,225,0.48,0.599,35,30,83,1038,,,,,elden-campbell-1,,Forward,,clemson,0.002,1,,0.543,14.9,0.521,,215,,,Elden Campbell,1989,4,Elden Campbell clemson,1.7,3.74,,7.98,4.78,,3.78,22.16,2.08,0.04,0.04,10.83,3.58,16.57,8.63,2253,,0,starter
1989-90,,,,pac-10,,,,0.494,326,0.436,142,0.344,0.884,26,,75,981,,,,,eldridge-recasner-1,,Guard,,washington,0.316,0.369,,0.555,,0.466,,190,,,Eldridge Recasner,1989,4,Eldridge Recasner washington,3.59,0.12,,4.57,4.04,,,17.17,0.98,4.2,1.55,4.12,,9.09,4.24,1454,,0,role_player
2013-14,32.9,1.7,6.8,sun-belt,1.7,11.7,1.9,0.524,466,0.509,237,0.648,0.609,35,34,75,1258,5.1,7.1,3.7,25.2,elfrid-payton-1,732,Guard,3.6,louisiana-lafayette,0.116,0.259,9.4,0.551,17.2,0.541,27.6,180,5.6,0.177,Elfrid Payton,2013,3,Elfrid Payton louisiana-lafayette,6.61,0.67,4.1,9.6,5.85,2.58,2.64,21.37,2.54,1.72,0.45,6.68,4.04,13.1,7.09,2489,,0,starter
1990-91,,,,metro,,,,0.512,507,0.464,235,0.363,0.793,32,,73,1169,,,,,elliot-perry-1,,Guard,,memphis,0.268,0.36,,0.559,15.4,0.501,,150,,,Elliot Perry,1990,4,Elliot Perry memphis,5.06,0.03,,6.3,5,,1.95,22.75,2.91,4.65,1.68,3.8,3.7,12.69,6.36,1977,,0,role_player
2009-10,24,0.4,,cusa,,11.3,1.5,0.536,388,0.459,178,0.66,0.758,34,34,76,1133,,2.7,4.1,,elliot-williams-1,598,Guard,2.4,memphis,0.423,0.366,7.1,0.599,16.4,0.527,27.7,180,5.6,0.197,Elliot Williams,2009,2,Elliot Williams memphis,4.52,0.14,3.88,9.04,6.85,0.88,2.44,21.54,1.59,5.79,2.12,4.77,3.53,7.91,4.17,1157,,0,scrub
1991-92,,,,big-west,,,,0.637,273,0.637,174,0.436,0.546,28,27,85,855,,,,,elmore-spencer-1,,Center,,nevada-las-vegas,0.007,0,,0.627,18.5,0.642,,270,,,Elmore Spencer,1991,3,Elmore Spencer nevada-las-vegas,2.2,3.27,,5.57,3.04,,3.37,19.32,0.75,0.09,0,10.67,3.51,12.68,8.14,1930,,0,role_player
1998-99,,,,acc,,,5,0.62,411,0.62,255,0.623,0.707,39,,80,1141,,,5,,elton-brand-1,,Center,,duke,0,,,0.649,11.2,0.62,,275,10,0.35,Elton Brand,1998,2,Elton Brand duke,1.44,3.01,,8.97,6.35,,3.4,24.22,1.72,0,0,13.39,2.35,14.41,8.94,3020,2002,1,all_star
1990-91,,,,meac,,,,0.566,328,0.503,165,0.497,0.748,25,24,76,838,,,,,emanual-davis-1,,Guard,,delaware-state,0.323,0.387,,0.608,18.8,0.559,,195,,,Emanual Davis,1990,3,Emanual Davis delaware-state,6.63,0.62,,7.78,5.82,,3.72,23.53,4.01,5.06,1.96,5.63,4.49,10.6,5.92,1290,,0,scrub
2003-04,6,7.9,,big-east,,,6.2,0.599,436,0.599,261,0.5,0.518,36,36,82,1166,,,3.7,,emeka-okafor-1,,Center,,connecticut,0,,17.9,0.588,13.5,0.599,25.1,252,9.9,0.339,Emeka Okafor,2003,3,Emeka Okafor connecticut,1.23,5.04,9.5,7.48,3.88,4.73,2.92,21.78,1.23,0,0,14.24,2.88,14.96,8.95,2718,,0,starter
2009-10,16.8,1.1,,sec,,8.5,2.1,0.54,312,0.462,144,0.394,0.667,37,35,73,1122,,1.9,1.5,,eric-bledsoe-1,405,Guard,2.6,kentucky,0.41,0.383,5.5,0.566,23.2,0.516,20.4,190,3.5,0.126,Eric Bledsoe,2009,1,Eric Bledsoe kentucky,3.81,0.43,3.39,4.39,2.92,0.68,2.92,14.94,1.85,4.56,1.75,4.06,3.99,6.56,3.39,1841,,0,role_player
2007-08,15.2,1.3,,big-ten,,,1.8,0.515,425,0.433,184,0.652,0.834,32,32,75,1110,,,4.2,,eric-gordon-1,,Guard,,indiana,0.489,0.337,5.5,0.601,17.1,0.525,30.8,222,6,0.217,Eric Gordon,2007,1,Eric Gordon indiana,2.81,0.72,2.92,9.98,8.32,0.83,2.49,24.11,1.51,7.5,2.52,3.75,4.14,7.82,4.11,2677,,0,starter
2008-09,,,,colonial,,,2.2,0.524,536,0.463,248,0.453,0.815,34,34,74,1206,,,4.7,,eric-maynor-1,,Guard,,virginia-commonwealth,0.341,0.361,,0.583,13.4,0.516,,175,6.9,0.23,Eric Maynor,2008,4,Eric Maynor virginia-commonwealth,6.97,0.2,3.52,8.06,6.57,0.53,2.72,25.21,1.92,6.07,2.19,4.05,3.35,11.71,6.04,1269,,0,scrub
1993-94,4.3,5.1,,acc,,,,0.56,327,0.56,183,0.602,0.558,35,35,85,1110,,,,,eric-montross-1,,Center,,north-carolina,0,,13.1,0.566,13.6,0.56,19.3,270,,,Eric Montross,1993,4,Eric Montross north-carolina,1.05,2.23,,7.1,3.96,,3.75,17.15,0.65,0,0,10.27,2.38,11.78,6.59,2315,,0,starter
2013-14,9.1,6.5,3.5,pac-12,2.5,30.2,0.9,0.512,130,0.508,66,0.623,0.556,20,19,82,588,1,10.1,0.4,17.6,eric-moreland-1,191,Forward,1.3,oregon-state,0.015,0.5,20.9,0.528,21.1,0.508,18.6,218,1.3,0.091,Eric Moreland,2013,4,Eric Moreland oregon-state,1.9,2.65,10.82,5.51,3.06,3.13,3.33,12.11,0.88,0.14,0.07,13.95,3.06,8.71,4.42,805,,0,scrub
1990-91,,,,big-east,,,,0.492,589,0.445,262,0.497,0.812,32,,73,1111,,,,,eric-murdock-1,,Guard,,providence,0.272,0.35,,0.562,14,0.48,,190,,,Eric Murdock,1990,4,Eric Murdock providence,5.33,0.18,,10.55,8.57,,3.53,29.45,4,5.76,2.02,6.05,4.28,15.45,7.42,2533,,0,starter
1993-94,,,,big-8,,,,0.565,456,0.496,226,0.362,0.794,30,,79,972,,,,,eric-piatkowski-1,,Guard,,nebraska,0.377,0.366,,0.604,11.9,0.574,,215,,,Eric Piatkowski,1993,4,Eric Piatkowski nebraska,3.37,0.82,,6.79,5.39,,2.63,26.58,1.89,7.08,2.59,7.78,2.96,11.69,6.71,1740,,0,role_player
1992-93,,,,big-ten,,,,0.586,133,0.586,78,0.398,0.736,35,,85,525,,,,,eric-riley-1,,Center,,michigan,0.008,0,,0.616,19,0.591,,245,,,Eric Riley,1992,4,Eric Riley michigan,1.07,2.36,,4.04,2.97,,6.25,14.86,1.14,0.08,0,12.88,2.82,10.06,5.94,544,,0,scrub
1994-95,,,,big-ten,,,,0.536,225,0.52,117,0.453,0.608,28,28,75,916,,,,,eric-snow-1,,Guard,,michigan-state,0.107,0.292,,0.554,23.9,0.547,,190,,,Eric Snow,1994,4,Eric Snow michigan-state,9.48,0.17,,4.45,2.71,,3.36,13.23,2.27,1.05,0.31,4.02,3.76,8.78,4.8,1716,,0,role_player
1994-95,,,,big-east,,,,0.446,445,0.413,184,0.438,0.687,30,,80,1041,,,,,eric-williams-1,,Forward,,providence,0.175,0.372,,0.494,12.8,0.422,,220,,,Eric Williams,1994,2,Eric Williams providence,2.88,0.38,,7.49,5.15,,3.65,20.4,2.31,3,1.11,7.72,3.04,14.1,5.96,2435,,0,starter
1995-96,,,,sec,,,2.9,0.551,354,0.551,195,0.48,0.612,34,,83,1112,,,2.7,,erick-dampier-1,,Center,,mississippi-state,0,,,0.568,17.6,0.551,,265,5.6,0.2,Erick Dampier,1995,3,Erick Dampier mississippi-state,2.77,3.81,,6.12,3.74,,3.09,17.77,0.58,0,0,11.4,3.35,12.73,7.01,2656,,0,starter
1995-96,,,,big-8,,,1.2,0.501,399,0.436,174,0.353,0.823,35,,75,1087,,,2.3,,erick-strickland-1,,Guard,,nebraska,0.371,0.351,,0.554,17.7,0.486,,210,3.4,0.127,Erick Strickland,1995,4,Erick Strickland nebraska,4.38,0.37,,5.19,4.27,,3.72,18.99,2.24,5.45,1.91,6.26,3.68,9.24,4.49,2025,,0,role_player
1992-93,,,,sun-belt,,,,0.619,336,0.619,208,0.521,0.674,29,,83,965,,,,,ervin-johnson-1,,Center,,new-orleans,0,,,0.637,15,0.619,,245,,,Ervin Johnson,1992,4,Ervin Johnson new-orleans,0.66,3.19,,7.25,4.89,,3.61,22.13,1.12,0,0,14.34,3.07,13.93,8.62,2599,,0,starter
1999-00,,,,big-east,,,4.4,0.602,246,0.602,148,0.593,0.678,29,,81,940,,,3,,etan-thomas-1,,Center,,syracuse,0,,,0.626,15.8,0.602,,256,7.4,0.314,Etan Thomas,1999,4,Etan Thomas syracuse,0.68,4.55,,6.21,4.21,,3.91,16.81,0.94,0,0,11.45,2.51,10.47,6.3,1901,,0,role_player
1998-99,,,,big-ten,,,2.5,0.584,308,0.584,180,0.886,0.762,29,29,83,938,,,5.6,,evan-eschmeyer-1,,Center,,northwestern,0,,,0.649,17.7,0.584,,255,8.2,0.348,Evan Eschmeyer,1998,4,Evan Eschmeyer northwestern,3.24,2.05,,11.64,8.87,,4.26,24.22,1.02,0,0,12.45,4.01,13.13,7.68,1331,,0,role_player
2009-10,37.5,2.9,,big-ten,,23.5,2.8,0.54,457,0.519,237,0.4,0.754,31,31,79,1108,,7.3,4,,evan-turner-1,682,Guard,3,ohio-state,0.12,0.364,15.9,0.581,20,0.54,33.1,210,6.8,0.247,Evan Turner,2009,3,Evan Turner ohio-state,6.68,1.01,8.01,6.61,4.98,2.24,3.1,22.82,1.95,1.99,0.72,10.25,4.91,14.51,7.83,2892,,0,starter
1989-90,,,,metro,,,,0.681,276,0.681,188,0.739,0.716,35,35,85,995,,,,,felton-spencer-1,,Center,,louisville,0,,,0.7,17.8,0.681,,265,,,Felton Spencer,1989,4,Felton Spencer louisville,1.81,2.77,,8.2,5.87,,5.07,20.98,0.96,0,0,11.78,3.26,11.1,7.56,2210,,0,starter
1998-99,,,,pac-10,,,2.7,0.513,156,0.513,80,0.327,0.412,32,,85,632,,,0.4,,francisco-elson-1,,Center,,california,0,,,0.502,16.6,0.513,,235,3.1,0.197,Francisco Elson,1998,2,Francisco Elson california,1.01,2.66,,3.23,1.33,,5.32,11.46,1.65,0,0,10.25,2.28,9.87,5.06,1579,,0,role_player
