col_lkup,height,position,steals,blocks,minutes_played,personal_fouls,assists,free_throw_attempts,free_throws,offensive_rebounds,defensive_rebounds,points,total_rebounds,turnovers,two_point_attempts,two_pointers,three_point_attempts,three_pointers,yrs_played,steals_per_40,blocks_per_40,personal_fouls_per_40,assists_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,defensive_rebounds_per_40,points_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,three_point_attempts_per_40,three_pointers_per_40,free_throw_percentage,three_point_percentage,two_point_percentage,max_season,nba_value_over_replacement_player,nba_steals,nba_blocks,nba_minutes_played,nba_assists,nba_turnovers,nba_attempted_three_point_field_goals,nba_attempted_free_throws,nba_steals_per_40,nba_blocks_per_40,nba_assists_per_40,nba_turnovers_per_40,nba_attempted_three_point_field_goals_per_40,nba_attempted_free_throws_per_40,nba_three_point_percentage,nba_free_throw_percentage,nba_assist_percentage,nba_block_percentage,nba_steal_percentage,nba_usage_percentage,nba_total_rebound_percentage,nba_true_shooting_percentage,nba_turnover_percentage
Aaron Brooks oregon,73,Guard,127,16,3759,265,470,367,306,86,311,1511,397,303,616,295,548,205,4,1.35,0.17,2.82,5,3.91,3.26,0.92,3.31,16.08,4.22,3.22,6.55,3.14,5.83,2.18,0.83413079,0.373948905,0.479113636,2006,2.5,162,30,6809,992,500,1179,659,0.95,0.18,5.83,2.94,6.93,3.87,0.363783611,0.850819812,24.45720488,0.30793068,1.216905272,24.57765722,4.27259157,0.528438014,13.45859774
Aaron Gordon arizona,81,Forward,34,39,1187,90,75,180,76,102,201,470,303,55,337,173,45,16,1,1.15,1.31,3.03,2.53,6.07,2.56,3.44,6.77,15.84,10.21,1.85,11.36,5.83,1.52,0.54,0.422,0.356,0.513,2013,2.9,204,162,6867,447,300,799,696,1.19,0.94,2.6,1.75,4.65,4.05,0.309136421,0.698275862,10.29187418,1.903145478,1.470452891,20.08526285,12.37147226,0.531475462,9.679379642
Aaron Gray pittsburgh,85,Center,41,130,2360,238,147,405,241,286,504,1109,790,176,789,434,0,0,4,0.69,2.2,4.03,2.49,6.86,4.08,4.85,8.54,18.8,13.39,2.98,13.37,7.36,0,0,0.594822222,,0.549839037,2006,-0.7,55,57,2170,125,147,2,220,1.01,1.05,2.3,2.71,0.04,4.06,0,0.583818182,9.055058065,2.008234101,1.323839631,16.55583963,17.81376774,0.537572406,18.74802765
Aaron McKie temple,77,Guard,196,23,3497,192,301,438,346,0,0,1650,586,176,850,385,486,178,3,2.24,0.26,2.2,3.44,5.01,3.96,0,0,18.87,6.7,2.01,9.72,4.4,5.56,2.04,0.789506849,0.366395062,0.452925882,1993,3.2,306,72,6524,630,340,311,437,1.88,0.44,3.86,2.08,1.91,2.68,0.32724052,0.765259897,15.09696475,0.848254139,2.489201104,15.50354047,7.908968118,0.491124479,15.32000858
Aaron Williams xavier,81,Forward,67,197,2765,341,124,304,215,0,0,1073,713,237,771,429,0,0,4,0.97,2.85,4.93,1.79,4.4,3.11,0,0,15.52,10.31,3.43,11.15,6.21,0,0,0.707246711,,0.556520104,1992,-0.3,37,73,1404,30,90,3,147,1.05,2.08,0.85,2.56,0.09,4.19,0,0.72340136,3.614923077,3.945935897,1.40148433,18.26612536,13.11961538,0.573281524,15.92312963
Acie Earl iowa,82,Forward,111,365,3204,281,139,725,493,0,0,1779,811,334,1258,640,7,2,4,1.39,4.56,3.51,1.74,9.05,6.15,0,0,22.21,10.12,4.17,15.71,7.99,0.09,0.02,0.679998621,0.285571429,0.508774245,1992,-2.5,63,126,2512,61,170,9,387,1,2.01,0.97,2.71,0.14,6.16,0,0.66524031,3.925437898,3.544745223,1.266520701,21.59004777,11.87595541,0.457903662,13.85843949
Acie Law texas-am,75,Guard,156,2,3760,323,545,454,345,56,323,1669,379,299,979,491,319,114,4,1.66,0.02,3.44,5.8,4.83,3.67,0.6,3.44,17.76,4.03,3.18,10.41,5.22,3.39,1.21,0.759806167,0.357435737,0.501522983,2006,-1.2,83,4,2385,309,145,115,221,1.39,0.07,5.18,2.43,1.93,3.71,0.233484058,0.779074242,19.59206541,0.128259958,1.806260797,16.71019706,4.733669602,0.490512872,16.44923103
Adam Keefe stanford,81,Forward,141,55,4002,266,210,886,652,0,0,2319,1119,309,1369,823,15,7,4,1.41,0.55,2.66,2.1,8.86,6.52,0,0,23.18,11.18,3.09,13.68,8.23,0.15,0.07,0.73587246,0.467,0.601298758,1991,0.7,164,91,5290,208,310,5,722,1.24,0.69,1.57,2.34,0.04,5.46,0,0.6966759,5.588884688,1.350226843,1.591285444,15.41470699,15.75810964,0.573510586,16.55255198
Adonal Foyle colgate,82,Center,61,492,3178,213,134,715,351,0,0,1776,1103,329,1291,711,10,1,3,0.77,6.19,2.68,1.69,9,4.42,0,0,22.35,13.88,4.14,16.25,8.95,0.13,0.01,0.491193007,0.1001,0.550597211,1996,-1.2,85,387,4381,122,231,1,271,0.78,3.53,1.11,2.11,0.01,2.47,0,0.428044281,4.42232367,6.254645058,0.999794567,13.59685003,14.60020543,0.454773339,16.41463136
Adreian Payne michigan-state,82,Center,76,141,2759,297,85,367,277,211,524,1232,735,187,701,386,149,61,4,1.1,2.04,4.31,1.23,5.32,4.02,3.06,7.6,17.86,10.66,2.71,10.16,5.6,2.16,0.88,0.755049046,0.409355705,0.55060913,2013,-1.4,45,27,1403,66,90,59,97,1.28,0.77,1.88,2.57,1.68,2.77,0.255783898,0.681429241,7.224859587,1.557826087,1.65490948,17.74865075,12.9117712,0.454146636,16.11824448
Adrian Griffin seton-hall,77,Forward,207,58,3290,275,266,459,300,0,0,1414,803,239,1009,527,72,20,4,2.52,0.71,3.34,3.23,5.58,3.65,0,0,17.19,9.76,2.91,12.27,6.41,0.88,0.24,0.653779956,0.277916667,0.522406343,1995,3,286,38,5060,415,200,161,263,2.26,0.3,3.28,1.58,1.27,2.08,0.291925466,0.779467681,12.04814229,0.548399209,2.919031621,13.42938735,10.58575099,0.498335771,13.1426087
Al Horford florida,82,Forward,94,189,2798,270,187,444,275,254,610,1123,864,173,720,424,4,0,3,1.34,2.7,3.86,2.67,6.35,3.93,3.63,8.72,16.05,12.35,2.47,10.29,6.06,0.06,0,0.619612613,0,0.588716667,2006,9.4,231,342,10331,742,481,11,875,0.89,1.32,2.87,1.86,0.04,3.39,0.272727273,0.762285714,11.9691995,2.519969025,1.194163198,17.49584745,16.66698287,0.57235195,12.46332398
Al Thornton florida-state,80,Guard,103,74,2723,280,87,522,366,258,383,1521,641,215,890,483,144,63,4,1.51,1.09,4.11,1.28,7.67,5.38,3.79,5.63,22.34,9.42,3.16,13.07,7.1,2.12,0.93,0.701042146,0.437243056,0.542662921,2006,-3.3,185,152,8274,353,424,266,954,0.89,0.73,1.71,2.05,1.29,4.61,0.290349428,0.747422585,7.400018854,1.366303239,1.163847957,21.28013814,8.58353928,0.512595557,10.98486367
Al-Farouq Aminu wake-forest,81,Forward,74,82,1869,172,87,351,241,204,381,892,585,180,552,288,105,25,2,1.58,1.75,3.68,1.86,7.51,5.16,4.37,8.15,19.09,12.52,3.85,11.81,6.16,2.25,0.54,0.686307692,0.238085714,0.522014493,2009,1.3,292,148,7040,343,398,257,507,1.66,0.84,1.95,2.26,1.46,2.88,0.291828794,0.729783038,7.559659091,1.747798295,2.209019886,15.40541193,13.88441761,0.506031108,16.75410511
Alaa Abdelnaby duke,82,Forward,50,70,1989,276,47,331,241,0,0,1137,494,140,748,448,0,0,4,1.01,1.41,5.55,0.95,6.66,4.85,0,0,22.87,9.93,2.82,15.04,9.01,0,0,0.727785498,,0.598909091,1989,-1.2,56,57,2694,72,202,1,286,0.83,0.85,1.07,3,0.01,4.25,0,0.716855944,3.910072754,1.328629547,1.01501559,20.83084633,15.18227617,0.535324915,15.16419599
Alan Anderson michigan-state,78,Forward,101,23,3380,326,307,456,379,155,369,1195,524,288,632,336,131,48,4,1.2,0.27,3.86,3.63,5.4,4.49,1.83,4.37,14.14,6.2,3.41,7.48,3.98,1.55,0.57,0.831182018,0.366572519,0.531664557,2004,-0.4,71,14,2776,182,159,424,245,1.02,0.2,2.62,2.29,6.11,3.53,0.349056603,0.844897959,11.04070605,0.420353026,1.347442363,21.34978386,6.036743516,0.515569885,12.54293948
Alan Henderson indiana,81,Forward,148,213,3596,345,134,692,447,0,0,1979,1091,226,1387,757,26,6,4,1.65,2.37,3.84,1.49,7.7,4.97,0,0,22.01,12.14,2.51,15.43,8.42,0.29,0.07,0.645728324,0.230769231,0.545679885,1994,0.9,140,104,5059,175,284,10,812,1.11,0.82,1.38,2.25,0.08,6.42,0.3,0.636699508,6.267938328,1.545700731,1.499644198,22.01915398,13.56588259,0.506007511,11.86339197
Alec Burks colorado,78,Guard,76,24,2100,163,165,495,398,149,248,1291,397,157,705,376,150,47,2,1.45,0.46,3.1,3.14,9.43,7.58,2.84,4.72,24.59,7.56,2.99,13.43,7.16,2.86,0.9,0.804335354,0.3136,0.533279433,2010,0.6,148,37,5168,441,326,348,774,1.15,0.29,3.41,2.52,2.69,5.99,0.356321839,0.750645995,14.40170279,0.55243808,1.519891641,22.40234133,7.277186533,0.526749226,12.83409443
Alec Kessler georgia,83,Center,72,44,3452,336,112,720,549,0,0,1788,893,268,1190,597,36,15,4,0.83,0.51,3.89,1.3,8.34,6.36,0,0,20.72,10.35,3.11,13.79,6.92,0.42,0.17,0.762761111,0.417083333,0.50152437,1989,-2.8,39,71,2937,81,192,24,301,0.53,0.97,1.1,2.61,0.33,4.1,0.416666667,0.744186046,4.097446374,1.500306435,0.673987062,18.70609465,14.31116786,0.480557712,14.24004086
Alex Len maryland,85,Center,12,125,1470,155,50,199,132,145,272,583,417,93,409,224,9,1,2,0.33,3.4,4.22,1.36,5.41,3.59,3.95,7.4,15.86,11.35,2.53,11.13,6.1,0.24,0.03,0.663115578,0.111111111,0.547410758,2012,-1.4,114,283,5261,177,347,22,582,0.87,2.15,1.35,2.64,0.17,4.43,0.227272727,0.716494845,5.19207375,4.272153583,1.06063486,17.21680289,17.18941266,0.519470823,16.39258696
Allan Houston tennessee,78,Guard,133,50,4606,274,460,767,651,0,0,2801,517,407,1144,556,817,346,4,1.16,0.43,2.38,3.99,6.66,5.65,0,0,24.32,4.49,3.53,9.93,4.83,7.1,3,0.848662321,0.423430845,0.485944056,1992,2.8,197,61,9268,693,612,1321,859,0.85,0.26,2.99,2.64,5.7,3.71,0.402725208,0.825378347,13.38068623,0.483243418,1.120899871,23.77011221,5.294151921,0.547589771,12.74751834
Allen Crabbe california,78,Guard,84,57,3402,165,219,320,262,85,474,1537,559,182,648,324,547,209,3,0.99,0.67,1.94,2.57,3.76,3.08,1,5.57,18.07,6.57,2.14,7.62,3.81,6.43,2.46,0.81875625,0.382127971,0.500101852,2012,1,138,52,5142,238,144,686,257,1.07,0.4,1.85,1.12,5.34,2,0.411078717,0.848249027,6.866530533,0.778607546,1.345488137,15.09356282,5.597724621,0.577021198,8.16252431
Alonzo Gee alabama,78,Forward,149,56,3666,274,168,511,323,310,420,1630,730,270,979,481,354,115,4,1.63,0.61,2.99,1.83,5.58,3.52,3.38,4.58,17.79,7.97,2.95,10.68,5.25,3.86,1.25,0.631966732,0.324624294,0.491057201,2008,0,237,65,5668,291,311,416,538,1.67,0.46,2.05,2.19,2.94,3.8,0.325465561,0.778399009,8.370220889,0.896207128,2.176581863,17.12866337,8.678940014,0.517631842,14.40007798
Alvin Williams villanova,77,Guard,200,38,3925,341,553,441,320,0,0,1423,489,303,714,352,380,133,4,2.04,0.39,3.48,5.64,4.49,3.26,0,0,14.5,4.98,3.09,7.28,3.59,3.87,1.36,0.725537415,0.349889474,0.493039216,1996,1.6,246,52,5295,766,264,233,352,1.86,0.39,5.79,1.99,1.76,2.66,0.310193133,0.753986753,23.4985203,0.731756185,2.463333144,16.82708196,4.925653069,0.482343624,13.48051256
Amal McCaskill marquette,83,Center,45,175,2203,287,86,315,203,0,0,861,700,194,597,326,5,2,4,0.82,3.18,5.21,1.56,5.72,3.69,0,0,15.63,12.71,3.52,10.84,5.92,0.09,0.04,0.64428254,0.3998,0.546393635,1995,-0.7,24,36,968,36,52,3,69,0.99,1.49,1.49,2.15,0.12,2.85,0,0.608695653,6.036983471,2.84731405,1.324173554,14.3427686,12.83832645,0.419268595,16.8768595
Andre Barrett seton-hall,70,Guard,173,11,4296,228,662,472,365,105,341,1861,446,349,814,382,696,244,4,1.61,0.1,2.12,6.16,4.39,3.4,0.98,3.18,17.33,4.15,3.25,7.58,3.56,6.48,2.27,0.773315678,0.350238506,0.469120393,2003,-0.2,29,1,819,135,47,69,33,1.42,0.05,6.59,2.3,3.37,1.61,0.250599496,0.699915825,26.08331624,0.082564103,1.870054945,16.92401099,5.059307692,0.4245384,15.88862027
Andre Drummond connecticut,82,Center,28,92,967,75,15,88,26,114,143,340,257,52,290,157,2,0,1,1.16,3.81,3.1,0.62,3.64,1.08,4.72,5.92,14.06,10.63,2.15,12,6.49,0.08,0,0.295,0,0.541,2011,6.9,352,491,9030,187,442,12,1438,1.56,2.17,0.83,1.96,0.05,6.37,0.25,0.379694019,3.582093023,4.274540421,2.018859358,20.42209302,23.26913621,0.540263234,10.57035437
Andre Iguodala arizona,78,Forward,95,29,1576,136,213,206,152,134,275,594,409,132,366,173,117,32,2,2.41,0.74,3.45,5.41,5.23,3.86,3.4,6.98,15.08,10.38,3.35,9.29,4.39,2.97,0.81,0.737592233,0.273632479,0.472412568,2003,12.6,596,151,12076,1324,767,762,1616,1.97,0.5,4.39,2.54,2.52,5.35,0.330708661,0.764851485,17.96185823,0.96417688,2.577028817,18.72356741,8.839698576,0.570102517,15.70998675
Andre Miller utah,76,Guard,254,65,3794,188,721,568,384,0,0,1618,643,279,949,530,197,58,4,2.68,0.69,1.98,7.6,5.99,4.05,0,0,17.06,6.78,2.94,10.01,5.59,2.08,0.61,0.675929577,0.294360406,0.558703899,1998,10.6,428,90,10877,2552,882,308,1580,1.57,0.33,9.38,3.24,1.13,5.81,0.233766234,0.808227848,40.27446906,0.601425025,2.054389997,21.98719316,7.044902087,0.523228648,16.59677301
Andre Roberson colorado,79,Forward,164,150,2970,274,119,340,198,309,736,1012,1045,183,598,332,143,50,3,2.21,2.02,3.69,1.6,4.58,2.67,4.16,9.91,13.63,14.07,2.46,8.05,4.47,1.93,0.67,0.582205882,0.349853147,0.555135452,2012,2,219,160,5614,211,151,385,223,1.56,1.14,1.5,1.08,2.74,1.59,0.25974026,0.493273542,5.118061988,2.250445315,1.926024225,9.571392946,9.786088351,0.526747061,12.1742964
Andrew Bogut utah,85,Forward,48,109,2226,158,155,319,215,236,517,1126,753,183,708,436,36,13,2,0.86,1.96,2.84,2.79,5.73,3.86,4.24,9.29,20.23,13.53,3.29,12.72,7.83,0.65,0.23,0.673905956,0.361222222,0.616225989,2004,5,185,275,8450,661,533,15,808,0.88,1.3,3.13,2.52,0.07,3.82,0.066666667,0.592821782,12.85256805,2.574295858,1.132189349,17.91098225,15.98262722,0.554659408,16.00695858
Andrew DeClercq florida,82,Forward,147,176,3504,408,137,451,299,0,0,1309,958,303,928,496,18,6,4,1.68,2.01,4.66,1.56,5.15,3.41,0,0,14.94,10.94,3.46,10.59,5.66,0.21,0.07,0.662842572,0.333,0.534407328,1994,-0.6,175,110,3893,131,218,2,479,1.8,1.13,1.35,2.24,0.02,4.92,0,0.621961882,5.446621629,2.168578474,2.358487542,15.78095453,15.11896532,0.540030968,15.84634421
Andrew Nicholson st-bonaventure,81,Forward,61,244,3672,371,87,633,456,271,616,2103,887,296,1330,780,77,29,4,0.66,2.66,4.04,0.95,6.9,4.97,2.95,6.71,22.91,9.66,3.22,14.49,8.5,0.84,0.32,0.720434439,0.376688312,0.586276692,2011,-1.3,58,89,3738,116,195,244,241,0.62,0.95,1.24,2.09,2.61,2.58,0.336065574,0.780082988,5.155136437,1.886998395,0.7964687,20.67520064,11.98202247,0.528104869,11.36490102
Andrew Wiggins kansas,80,Guard,41,34,1148,94,54,227,176,76,129,597,205,80,296,146,126,43,1,1.43,1.18,3.28,1.88,7.91,6.13,2.65,4.49,20.8,7.14,2.79,10.31,5.09,4.39,1.5,0.775,0.341,0.493,2013,0.1,337,177,11841,683,684,943,1887,1.14,0.6,2.31,2.31,3.19,6.37,0.329798516,0.740858505,9.675475044,1.22161135,1.450232244,25.55392281,6.580508403,0.524603919,10.11406976
Anfernee Hardaway memphis,79,Guard,162,84,2420,178,392,364,261,0,0,1319,510,234,595,316,410,142,2,2.68,1.39,2.94,6.48,6.02,4.31,0,0,21.8,8.43,3.87,9.83,5.22,6.78,2.35,0.717082418,0.346365854,0.531294118,1992,19.1,579,153,11152,2009,924,986,1718,2.08,0.55,7.21,3.31,3.54,6.16,0.315415822,0.773573923,28.98663917,0.962813845,2.70553264,24.04424319,7.146386298,0.573275915,15.33185079
Ansu Sesay mississippi,81,Forward,99,99,3093,221,227,543,393,0,0,1428,699,197,911,426,228,61,4,1.28,1.28,2.86,2.94,7.02,5.08,0,0,18.47,9.04,2.55,11.78,5.51,2.95,0.79,0.723773481,0.267473684,0.467644347,1997,-0.4,38,30,1301,62,58,29,111,1.17,0.92,1.91,1.78,0.89,3.41,0.275862069,0.63963964,7.646425826,1.762336664,1.545964643,16.99323597,9.963182168,0.470737894,12.44704074
Antawn Jamison north-carolina,81,Forward,93,85,3107,162,93,635,392,0,0,1974,1027,122,1337,779,27,8,3,1.2,1.09,2.09,1.2,8.18,5.05,0,0,25.41,13.22,1.57,17.21,10.03,0.35,0.1,0.617655118,0.29637037,0.582838444,1997,4.7,252,104,9041,449,541,432,1335,1.11,0.46,1.99,2.39,1.91,5.91,0.3125,0.690636704,9.35321314,0.809910408,1.435195222,25.59763301,11.35332375,0.502782436,9.989680345
Anthony Avent seton-hall,81,Forward,53,121,2351,282,112,338,237,0,0,1067,711,206,788,415,0,0,3,0.9,2.06,4.8,1.91,5.75,4.03,0,0,18.15,12.1,3.5,13.41,7.06,0,0,0.701180473,,0.526562183,1990,-5.7,148,196,6308,266,385,2,447,0.94,1.24,1.69,2.44,0.01,2.83,0,0.679621309,6.323264426,2.121431357,1.177263633,17.22723906,13.65688871,0.44148273,15.64594784
Anthony Bennett nevada-las-vegas,80,Forward,24,43,950,80,34,177,124,86,199,564,285,65,283,166,96,36,1,1.01,1.81,3.37,1.43,7.45,5.22,3.62,8.38,23.75,12,2.74,11.92,6.99,4.04,1.52,0.701,0.375,0.587,2012,-1.3,58,27,1905,77,99,138,179,1.22,0.57,1.62,2.08,2.9,3.76,0.260869565,0.670391061,6.458897638,1.12976378,1.522204724,18.95354331,13.8896063,0.456379528,11.97149606
Anthony Bonner saint-louis,80,Forward,192,73,4110,329,265,662,420,0,0,1972,1424,316,1423,770,12,4,4,1.87,0.71,3.2,2.58,6.44,4.09,0,0,19.19,13.86,3.08,13.85,7.49,0.12,0.04,0.634451662,0.333,0.541081518,1989,0.1,295,61,6203,358,368,11,663,1.9,0.39,2.31,2.37,0.07,4.28,0.090909091,0.585218703,8.309108496,0.635289376,2.338674835,15.83391907,12.88647429,0.503949702,16.04413993
Anthony Carter hawaii,73,Guard,142,25,1861,86,403,280,200,0,0,1070,259,136,648,336,200,66,2,3.05,0.54,1.85,8.66,6.02,4.3,0,0,23,5.57,2.92,13.93,7.22,4.3,1.42,0.714478571,0.33015,0.518555556,1997,-1.1,261,23,5451,1063,445,90,313,1.92,0.17,7.8,3.27,0.66,2.3,0.111111111,0.670926518,32.32986608,0.323170061,2.620931939,17.98846083,6.226820767,0.41641497,21.56589617
Anthony Davis kentucky,82,Forward,54,186,1281,78,50,203,144,119,296,567,415,41,317,207,20,3,1,1.69,5.81,2.44,1.56,6.34,4.5,3.72,9.24,17.7,12.96,1.28,9.9,6.46,0.62,0.09,0.709,0.15,0.653,2011,16,342,626,8823,433,414,135,1556,1.55,2.84,1.96,1.88,0.61,7.05,0.281481481,0.780205655,9.094707016,5.735577468,2.02061657,26.29126148,16.38008614,0.57405089,8.186478522
Anthony Goldwire houston,73,Guard,115,6,2105,134,334,329,262,0,0,890,192,153,468,221,211,62,2,2.19,0.11,2.55,6.35,6.25,4.98,0,0,16.91,3.65,2.91,8.89,4.2,4.01,1.18,0.79643465,0.293909953,0.472211538,1993,-0.2,144,9,4222,642,239,434,341,1.36,0.09,6.08,2.26,4.11,3.23,0.388520105,0.79228276,25.35432875,0.132922785,1.834354334,17.49028707,3.982834676,0.524772459,14.43286026
Anthony Johnson college-of-charleston,75,Guard,136,19,2810,0,520,309,224,0,0,959,302,0,551,267,166,67,4,1.94,0.27,0,7.4,4.4,3.19,0,0,13.65,4.3,0,7.84,3.8,2.36,0.95,0.725100324,0.403331325,0.484778584,1996,-1.7,155,23,4299,586,251,163,264,1.44,0.21,5.45,2.34,1.52,2.46,0.307257669,0.713464544,21.8026769,0.394575948,1.917329612,15.82454687,4.467147709,0.435942538,16.50955711
Anthony Miller michigan-state,81,Center,50,59,1939,202,66,264,154,0,0,797,582,152,525,320,2,1,3,1.03,1.22,4.17,1.36,5.45,3.18,0,0,16.44,12.01,3.14,10.83,6.6,0.04,0.02,0.583636364,0.5,0.609485714,1993,-0.1,39,11,892,42,60,7,125,1.75,0.49,1.88,2.69,0.31,5.61,0.285714286,0.592,6.882174888,0.844506726,2.277130045,16.7779148,16.11513453,0.546318386,17.67264574
Anthony Morrow georgia-tech,77,Guard,99,26,2906,241,119,226,196,152,251,1400,403,140,469,215,613,258,4,1.36,0.36,3.32,1.64,3.11,2.7,2.09,3.45,19.27,5.55,1.93,6.46,2.96,8.44,3.55,0.867230088,0.421132137,0.458539446,2007,2,166,44,7025,313,260,1037,417,0.95,0.25,1.78,1.48,5.9,2.37,0.426229508,0.896882494,7.199629893,0.452597865,1.171103203,18.71622776,6.071786477,0.573348043,8.74
Anthony Parker bradley,78,Guard,159,78,3603,221,355,587,440,0,0,1683,643,277,658,329,515,195,4,1.77,0.87,2.45,3.94,6.52,4.88,0,0,18.68,7.14,3.08,7.31,3.65,5.72,2.16,0.74953833,0.378497087,0.500088146,1996,2.2,92,18,2821,182,93,303,189,1.3,0.26,2.58,1.32,4.3,2.68,0.412541254,0.80952381,10.21648352,0.433959589,1.728358738,15.98766395,6.927047146,0.581839773,9.343672457
Anthony Peeler missouri,76,Guard,196,36,3583,278,497,670,522,0,0,1970,593,360,1133,550,295,116,4,2.19,0.4,3.1,5.55,7.48,5.83,0,0,21.99,6.62,4.02,12.65,6.14,3.29,1.3,0.778944776,0.393379661,0.485346867,1991,1.6,214,45,5746,500,320,651,491,1.49,0.31,3.48,2.23,4.53,3.42,0.382488479,0.778004073,13.43590324,0.499147233,1.881169509,21.37208493,5.842046641,0.53505047,11.10774452
Anthony Randolph louisiana-state,82,Forward,35,70,1016,85,38,166,115,86,177,483,263,92,375,181,19,2,1,1.38,2.76,3.35,1.5,6.54,4.53,3.39,6.97,19.02,10.35,3.62,14.76,7.13,0.75,0.08,0.693,0.105,0.483,2007,0.4,105,184,2985,143,222,14,447,1.41,2.47,1.92,2.97,0.19,5.99,0.087142857,0.739591269,7.788053601,4.363752094,1.720120603,23.42217755,15.92267337,0.512175812,13.69772194
Anthony Tolliver creighton,80,Center,77,136,2662,287,135,410,275,218,385,1004,603,168,658,333,63,21,4,1.16,2.04,4.31,2.03,6.16,4.13,3.28,5.79,15.09,9.06,2.52,9.89,5,0.95,0.32,0.670697561,0.333222222,0.506267477,2006,0.6,83,81,3879,208,137,409,330,0.86,0.84,2.14,1.41,4.22,3.4,0.321102997,0.76969697,7.80159835,1.549703532,1.052874452,14.43495746,11.62214488,0.535824181,10.95181748
Antoine Walker kentucky,80,Forward,89,33,1450,147,151,203,134,0,0,806,450,148,616,297,103,26,2,2.46,0.91,4.06,4.17,5.6,3.7,0,0,22.23,12.41,4.08,16.99,8.19,2.84,0.72,0.660128079,0.25261165,0.481831169,1995,5.4,427,173,10790,970,900,912,1486,1.58,0.64,3.6,3.34,3.38,5.51,0.308114035,0.64602961,16.12303985,1.191130677,2.019879518,27.56138091,13.85440222,0.481973494,13.11386469
Antoine Wright texas-am,79,Forward,95,50,2793,222,184,344,223,122,365,1338,487,198,652,286,482,181,3,1.36,0.72,3.18,2.64,4.93,3.19,1.75,5.23,19.16,6.97,2.84,9.34,4.1,6.9,2.59,0.648340116,0.375578838,0.438943252,2004,-1.9,108,61,4291,224,168,333,257,1.01,0.57,2.09,1.57,3.1,2.4,0.296830824,0.669036928,8.164828711,1.105358192,1.346507574,14.77747658,6.626717315,0.487505644,12.36064694
Antonio Daniels bowling-green-state,76,Guard,165,30,3700,167,573,534,405,0,0,1789,321,314,1049,566,212,84,4,1.78,0.32,1.81,6.19,5.77,4.38,0,0,19.34,3.47,3.39,11.34,6.12,2.29,0.91,0.758544944,0.396306604,0.539400381,1996,2,201,35,5825,921,375,318,492,1.38,0.24,6.32,2.58,2.18,3.38,0.352201258,0.719512195,25.85315021,0.446472103,1.835948498,17.77304721,4.359364807,0.522460944,16.48628326
Antonio Davis texas-el-paso,81,Forward,54,104,3152,241,59,528,317,0,0,1117,741,174,741,400,2,0,4,0.69,1.32,3.06,0.75,6.7,4.02,0,0,14.18,9.4,2.21,9.4,5.08,0.03,0,0.600155303,0,0.539954116,1989,1.6,139,263,7189,188,399,17,1183,0.77,1.46,1.05,2.22,0.09,6.58,0.117647058,0.674556213,4.152705522,2.779677285,1.014077062,17.1366254,15.75577966,0.548894978,14.65035471
Antonio Harvey georgia,83,Forward,29,130,1288,190,42,135,67,0,0,445,303,84,187,189,4,0,2,0.9,4.04,5.9,1.3,4.19,2.08,0,0,13.82,9.41,2.61,5.81,5.87,0.12,0,0.496096296,0,0.465,1990,-1.4,50,111,1666,44,87,3,160,1.2,2.67,1.06,2.09,0.07,3.84,0.333333333,0.493608285,3.917076831,4.753361345,1.521308523,17.04333733,12.80939376,0.418012605,13.39996999
Antonio Lang duke,80,Forward,68,106,3020,305,90,422,278,0,0,1012,586,198,641,367,3,0,4,0.9,1.4,4.04,1.19,5.59,3.68,0,0,13.4,7.76,2.62,8.49,4.86,0.04,0,0.658888626,0,0.572393136,1993,-0.5,49,44,1292,47,83,8,107,1.52,1.36,1.46,2.57,0.25,3.31,0,0.728971963,6.055959752,3.026547988,2.210913313,14.76106811,9.524303406,0.508435759,21.49736842
Antonio McDyess alabama,81,Center,57,105,1479,181,32,192,120,0,0,754,547,131,594,317,1,0,2,1.54,2.84,4.9,0.87,5.19,3.25,0,0,20.39,14.79,3.54,16.06,8.57,0.03,0,0.625125,0,0.53369697,1994,3.3,289,490,9223,369,633,50,1297,1.25,2.13,1.6,2.75,0.22,5.63,0.14,0.694680031,7.415201128,3.776255015,1.660490079,24.62361488,14.14487694,0.528399761,12.52751816
Archie Goodwin kentucky,77,Guard,36,15,1048,97,88,212,135,48,104,466,152,101,293,140,64,17,1,1.37,0.57,3.7,3.36,8.09,5.15,1.83,3.97,17.79,5.8,3.85,11.18,5.34,2.44,0.65,0.637,0.266,0.478,2012,-0.7,69,38,2396,206,206,191,373,1.15,0.63,3.44,3.44,3.19,6.23,0.235702779,0.696625335,13.73236728,1.267803005,1.436994992,22.09101503,7.573841402,0.511443406,16.7886177
Aron Baynes washington-state,82,Center,41,93,2679,290,37,394,275,208,445,1064,653,152,719,393,3,1,4,0.61,1.39,4.33,0.55,5.88,4.11,3.11,6.64,15.89,9.75,2.27,10.74,5.87,0.04,0.01,0.698053299,0.333333333,0.546827538,2008,0,40,85,2987,125,179,7,302,0.54,1.14,1.67,2.4,0.09,4.04,0.142857143,0.801324503,6.437797121,2.145764982,0.686206897,18.2860395,16.4120857,0.565896552,14.67803817
