col_lkup,height,position,steals,blocks,minutes_played,personal_fouls,assists,free_throw_attempts,free_throws,offensive_rebounds,defensive_rebounds,points,total_rebounds,turnovers,two_point_attempts,two_pointers,three_point_attempts,three_pointers,yrs_played,steals_per_40,blocks_per_40,personal_fouls_per_40,assists_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,defensive_rebounds_per_40,points_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,three_point_attempts_per_40,three_pointers_per_40,free_throw_percentage,three_point_percentage,two_point_percentage,max_season,nba_value_over_replacement_player,nba_steals,nba_blocks,nba_minutes_played,nba_assists,nba_turnovers,nba_attempted_three_point_field_goals,nba_attempted_free_throws,nba_steals_per_40,nba_blocks_per_40,nba_assists_per_40,nba_turnovers_per_40,nba_attempted_three_point_field_goals_per_40,nba_attempted_free_throws_per_40,nba_three_point_percentage,nba_free_throw_percentage,nba_assist_percentage,nba_block_percentage,nba_steal_percentage,nba_usage_percentage,nba_total_rebound_percentage,nba_true_shooting_percentage,nba_turnover_percentage
Reggie Evans iowa,80,Forward,85,38,2376,209,99,648,405,265,529,1054,794,231,665,323,2,1,2,1.43,0.64,3.52,1.67,10.91,6.82,4.46,8.91,17.74,13.37,3.89,11.2,5.44,0.03,0.02,0.624873457,0.5,0.485759398,2001,-1.1,190,46,5919,163,306,6,753,1.28,0.31,1.1,2.07,0.04,5.09,0,0.535412323,4.091452779,0.586585403,1.739855043,11.51135631,21.13851901,0.503665562,20.74892921
Reggie Jackson boston-college,75,Guard,83,46,2775,172,350,296,223,135,298,1254,433,203,634,334,345,121,3,1.2,0.66,2.48,5.05,4.27,3.21,1.95,4.3,18.08,6.24,2.93,9.14,4.81,4.97,1.74,0.753402027,0.350747826,0.526782334,2010,3.3,201,32,6039,986,443,652,486,1.33,0.21,6.53,2.93,4.32,3.22,0.295253207,0.858653131,26.6537387,0.412780924,1.699262792,22.35857923,7.937633383,0.511776453,14.43974367
Reggie Jordan new-mexico-state,76,Guard,113,44,1646,190,130,218,134,0,0,752,412,150,616,279,75,20,2,2.75,1.07,4.62,3.16,5.3,3.26,0,0,18.27,10.01,3.65,14.97,6.78,1.82,0.49,0.61466055,0.266466667,0.452909091,1990,1.1,68,24,1123,117,71,5,178,2.42,0.85,4.17,2.53,0.18,6.34,0.4,0.592693419,15.89157614,1.526749777,3.13111309,18.07280499,12.28179875,0.520444346,16.04694568
Reggie Slater wyoming,79,Forward,30,37,3870,0,131,727,521,0,0,1809,1197,0,486,644,1,0,4,0.31,0.38,0,1.35,7.51,5.39,0,0,18.7,12.37,0,5.02,6.66,0.01,0,0.716357634,0,0.596407407,1991,-1.2,63,42,2376,109,166,2,459,1.06,0.71,1.84,2.79,0.03,7.73,0,0.619320262,7.704558923,1.228020202,1.387144781,20.12654545,11.33851178,0.531625657,15.19070034
Renaldo Balkman south-carolina,80,Forward,123,112,2193,219,176,227,121,222,328,771,550,172,518,301,55,16,3,2.24,2.04,3.99,3.21,4.14,2.21,4.05,5.98,14.06,10.03,3.14,9.45,5.49,1,0.29,0.532744493,0.290872727,0.581030888,2005,1.6,156,99,2887,125,127,53,256,2.16,1.37,1.73,1.76,0.73,3.55,0.150943396,0.53125,6.921579494,2.682611708,2.802736405,14.26983027,14.83789401,0.526677174,13.92154486
Rex Walters kansas,76,Guard,131,24,3003,300,436,374,313,0,0,1606,293,274,593,333,491,209,4,1.74,0.32,4,5.81,4.98,4.17,0,0,21.39,3.9,3.65,7.9,4.44,6.54,2.78,0.836826203,0.425682281,0.561342327,1992,0.3,105,26,3472,411,203,438,200,1.21,0.3,4.74,2.34,5.05,2.3,0.37507103,0.796391304,19.31409562,0.536854839,1.55608871,16.80877304,4.612741935,0.55725023,15.1755818
Rich King nebraska,86,Center,66,183,2928,359,223,510,345,0,0,1475,761,273,995,562,5,2,4,0.9,2.5,4.9,3.05,6.97,4.71,0,0,20.15,10.4,3.73,13.59,7.68,0.07,0.03,0.676366667,0.4,0.564697487,1990,-0.3,5,7,309,21,28,2,71,0.65,0.91,2.72,3.62,0.26,9.19,0,0.661971831,9.794174757,1.488349515,0.77184466,23.44951456,13.94854369,0.472514563,16.16990291
Richard Hamilton connecticut,78,Guard,134,28,2927,132,266,505,417,0,0,2036,464,177,995,454,627,237,3,1.83,0.38,1.8,3.64,6.9,5.7,0,0,27.82,6.34,2.42,13.6,6.2,8.57,3.24,0.825407921,0.377875598,0.456063317,1998,1.5,205,43,8735,711,617,384,1317,0.94,0.2,3.26,2.83,1.76,6.03,0.302083334,0.850417616,16.07787064,0.380663995,1.225357756,28.58022896,6.018294219,0.511621179,11.3463194
Richard Jefferson arizona,79,Forward,51,63,2211,219,232,298,214,58,132,944,416,227,521,275,163,60,3,0.92,1.14,3.96,4.2,5.39,3.87,1.05,2.39,17.08,7.53,4.11,9.43,4.98,2.95,1.09,0.718228188,0.36792638,0.528197697,2000,7.9,269,137,9284,789,593,301,1438,1.16,0.59,3.4,2.55,1.3,6.2,0.322259136,0.76286509,15.25171262,1.094959069,1.545853081,21.86281775,9.436406721,0.554527036,13.30162645
Richaun Holmes bowling-green-state,80,Forward,75,244,2518,233,62,363,253,250,402,1089,652,143,643,373,85,30,3,1.19,3.88,3.7,0.98,5.77,4.02,3.97,6.39,17.3,10.36,2.27,10.21,5.93,1.35,0.48,0.696683196,0.353141176,0.57999689,2014,2.4,123,203,3825,212,164,152,408,1.29,2.12,2.22,1.72,1.59,4.27,0.256578948,0.705882353,8.901254902,4.300732026,1.548575163,17.86478431,14.18075817,0.608446797,10.32028758
