hs_recruit_ranking,name
91,Matt Kiefer 
92,Mario Moore 
93,Kevin Young 
94,Gary Ervin 
95,Dedrick Finn 
96,Nik Caner-Medley 
97,Bobby Jones
98,Wes Wilkinson 
99,Tyler Smith 
100,John Winchester 
1,LeBron James
2,Luol Deng
3,Shannon Brown
4,Ndudi Ebi
5,Kendrick Perkins
6,Chris Paul
7,David Padgett 
8,Brian Butch
9,Leon Powe
10,Kris Humphries
11,Von Wafer
12,Brandon Bass
13,Olu Famutimi 
14,Travis Outlaw
15,Linas Kleiza
16,J.R. Giddens
17,Mike Jones 
18,Charlie Villanueva
19,Trevor Ariza
20,James Lang
21,Drew Lavender 
22,Dion Harris 
23,Brandon Cotton 
24,Regis Koundjia 
25,Mustafa Shakur
26,Ivan Harris 
27,Ekene Ibekwe 
28,Rich McBride 
29,Chris Taft
30,Jackie Butler
31,Demetris Nichols
32,Aaron Brooks
33,Sean Banks 
34,Darryl Watkins
35,Ayinde Ubaka 
36,Rodrick Stewart 
37,Tack Minor 
38,Thomas Gardner
39,Gary Forbes
40,Ronnie Brewer
41,Marcus Williams
42,Terrence Roberts 
43,Chris Richard
44,Martin Iti 
45,Will Sheridan 
46,Mohamed Abukar 
47,Brandon Jenkins 
48,Shagari Alleyne 
49,Alexander Johnson
50,Gary Ervin 
51,Drew Naymick 
52,Courtney Sims
53,Brian Randle 
54,Cartier Martin
55,Omar Wilkes 
56,Lodrick Stewart 
57,Brandon Foust 
58,Corey Gibbs 
59,Major Wingate 
60,Reyshawn Terry 
61,J.R. Reynolds 
62,Brent Petway 
63,Art Bowers 
64,Dorell Wright
65,Mike Nardi 
66,Paul Millsap
67,Jeremy Ingram 
68,Jermareo Davidson
69,Guillermo Diaz
70,Dwight Brewington 
71,Dameon Mason 
72,Kenny Harris 
73,Wesley Green 
74,Darian Townes 
75,Lorrenzo Wade 
76,Dez Willingham 
77,Hassan Fofana 
78,Marquise Kately 
79,P.J. Tucker
80,Vincent Banks
81,Renaldo Balkman
82,Wesley Washington 
83,Tim Morris 
84,Sammy Mejia 
85,Lawrence McKenzie 
86,Matt Causey 
87,Keith Wooden 
88,Brandon Wallace 
89,Omari Isreal 
90,Ryan Appleby 
91,Gerald Brown 
92,Daon Merritt 
93,Devon Evertsen 
94,Will Blalock
95,Josh Boone
96,Sylvester Mayes 
97,Patrick Ewing
98,Karron Clarke 
99,Shawn Taylor 
100,Longar Longar 
1,Dwight Howard
2,Shaun Livingston
3,Al Jefferson
4,Josh Smith
5,Rudy Gay
6,Sebastian Telfair
7,Marvin Williams
8,Robert Swift
9,Malik Hairston
10,Randolph Morris
11,Glen Davis
12,LaMarcus Aldridge
13,D.J. White
14,Joe Crawford
15,Darius Washington
16,Juan Palacios 
17,Jawann McClellan 
18,DeMarcus Nelson
19,Daniel Gibson
20,Jordan Farmar
21,Rajon Rondo
22,Mike Williams 
23,J.R. Smith
24,A.J. Price
25,Corey Brewer
26,Arron Afflalo
27,Jason Rich 
28,Marquise Gray 
29,Kyle Lowry
30,Robert Vaden 
31,Russell Robinson 
32,Roy Bright 
33,Gabe Pruitt
34,Cedric Simmons
35,Shawne Williams
36,Josh Wright 
37,Greg Stiemsma
38,Ronald Steele 
39,Bryce Taylor 
40,Brian Johnson 
41,Isaiah Swann 
42,Dorell Wright
43,Sasha Kaun
44,Steven Hill
45,Jason Horton 
46,Sean Singletary
47,Marshall Brown 
48,Al Horford
49,Dion Dowell 
50,James Gist 
51,Justin Cerasoli 
52,Ra'Sean Dickey 
53,JamesOn Curry
54,Drew Neitzel 
55,Quentin Thomas 
56,Churchill Odia 
57,Josh Shipp 
58,Charles Rhodes 
59,Charles Thomas 
60,Andrew Brackman 
61,Marquie Cooke 
62,Shan Foster 
63,Kalen Grimes 
64,Andray Blatche
65,Dayshawn Wright 
66,Mohamed Tangara 
67,Alex Galindo 
68,Darnell Jackson
69,C.J. Giles 
70,Jamar Butler 
71,David McClure 
72,Joakim Noah
73,Lee Cummard 
74,Jeremis Smith 
75,Josh Heytvelt
76,A.J. Ratliff 
77,Shaun Pruitt 
78,Gavin Grant 
79,Albert Weber 
80,Keith Benjamin 
81,DeSean White 
82,Ron Coleman 
83,Walter Sharpe
84,Zam Fredrick 
85,Devon Hardin
86,Maarty Leunen
87,David Pendergraft 
88,Lorrenzo Wade 
89,Nick Young
90,Anthony Morrow
91,DeAaron Williams 
92,James Hardy 
93,Rahshon Clark 
94,Brian Laing 
95,Sam Perry 
96,Longar Longar 
97,Alex Thompson 
98,Channing Toney 
99,Jackie Butler
100,Toney Douglas
1,Josh McRoberts
2,Monta Ellis
3,Martell Webster
4,Tyler Hansbrough
5,Louis Williams
6,Julian Wright
7,Richard Hendrix 
8,Tasmin Mitchell 
9,Mario Chalmers
10,Andrew Bynum
11,Keith Brumbaugh
12,C.J. Miles
13,Greg Paulus 
14,Amir Johnson
15,Danny Green
16,Gerald Green
17,Jon Brockman
18,Andray Blatche
19,Brandon Costner 
20,Byron Eaton 
21,Micah Downs 
22,Eric Devendorf 
23,Brandon Rush
24,Korvotney Barber 
25,Lewis Clinch 
26,Jamont Gordon 
27,Shawne Williams
28,Joe Krabbenhoft 
29,Marcus Ginyard 
30,Marcus Williams
31,Bobby Frasor 
32,J.P. Prince 
33,Magnum Rolle 
34,Luke Zeller
35,Courtney Fells
