,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
29,15.436,1.084,13.252,0.30256,3.04,2.612,0.28904,8.296,0.52008,18.076,14.712,0.876,1625,2.2,Aaron McKie,1997,24,3,Temple,Aaron McKie Temple,Aaron McKie temple
30,15.046,0.57,11.126,0.1433,3.706,2.996,0.16522,7.416,0.4077,15.772,12.046,-1.484,1813,0.4,Aaron McKie,1998,25,4,Temple,Aaron McKie Temple,Aaron McKie temple
31,17.9,0.2,14,0.262,3.2,3.6,0.131,8.5,0.454,17.7,15.2,-0.4,959,0.4,Aaron McKie,1999,26,5,Temple,Aaron McKie Temple,Aaron McKie temple
32,19.5,0.7,11.4,0.246,2.6,2.9,0.204,7,0.497,14.7,17.3,1.2,1952,1.5,Aaron McKie,2000,27,6,Temple,Aaron McKie Temple,Aaron McKie temple
33,26.7,0.2,12.9,0.272,1.6,2.3,0.238,7.3,0.549,20.3,18.9,1.4,2394,2.1,Aaron McKie,2001,28,7,Temple,Aaron McKie Temple,Aaron McKie temple
34,21.7,0.7,12.7,0.249,2,2.1,0.261,7.4,0.54,14.6,19.8,2.7,1471,1.7,Aaron McKie,2002,29,8,Temple,Aaron McKie Temple,Aaron McKie temple
35,18.6,0.3,14.5,0.201,3,2.9,0.168,8.7,0.497,13.1,15.8,1.1,2374,1.9,Aaron McKie,2003,30,9,Temple,Aaron McKie Temple,Aaron McKie temple
36,16.8,0.9,11.5,0.192,2.5,2.2,0.298,7.1,0.55,14.1,16.2,1.3,2112,1.8,Aaron McKie,2004,31,10,Temple,Aaron McKie Temple,Aaron McKie temple
37,13.4,1.2,15.5,0.113,2,2.2,0.437,8.7,0.51,17.2,7.1,-0.6,1118,0.4,Aaron McKie,2005,32,11,Temple,Aaron McKie Temple,Aaron McKie temple
38,12.5,0,16.5,0.167,2.9,2.2,0.167,9.7,0.272,13.4,5.6,-2.4,121,0,Aaron McKie,2006,33,12,Temple,Aaron McKie Temple,Aaron McKie temple
39,14.4,0,15.1,0,0.9,1.6,0,8,0.647,32,8.6,-4.2,131,-0.1,Aaron McKie,2007,34,13,Temple,Aaron McKie Temple,Aaron McKie temple
40,29.5,0.6,13.6,0.222,0,1.7,0,6.6,0.405,35.8,11.6,-5,118,-0.1,Aaron Miles,2006,22,1,Kansas ,Aaron Miles Kansas ,Aaron Miles kansas
41,9,0,11.3,0.278,6.7,1,0,9,0.594,19.8,21.4,-6.8,51,-0.1,Aaron Swinson,1995,24,1,Auburn ,Aaron Swinson Auburn ,Aaron Swinson auburn
42,13,0,19,0.125,9.8,0,0,14.4,0.237,10.6,34.8,-23.9,12,-0.1,Aaron Williams,1994,22,1,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
43,0,6.2,24.1,0.5,8.1,1.4,0.042,15.9,0.41,19.3,22.3,-9,72,-0.1,Aaron Williams,1995,23,2,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
44,4.704,3.938,16.944,0.33614,12.614,1.568,0.00686,14.78,0.59902,15.098,16.68,-1.678,563,0.2,Aaron Williams,1997,25,3,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
45,3,3.8,15.4,0.386,7.7,1.3,0.005,11.6,0.575,16.3,18.8,-3.3,757,-0.2,Aaron Williams,1998,26,4,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
46,7.8,3.9,18.9,0.602,13.4,1.6,0.008,16.1,0.508,16.2,18.4,-1.6,458,0,Aaron Williams,1999,27,5,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
47,6.2,4.3,18.9,0.447,11.7,1.4,0.007,15.2,0.572,12.9,17.8,0.3,1545,0.9,Aaron Williams,2000,28,6,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
48,6.5,3.6,19.2,0.477,10.1,1.3,0.003,14.5,0.533,14.4,17.8,-1.6,2336,0.2,Aaron Williams,2001,29,7,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
49,8.1,3.5,16.4,0.424,8.3,1,0.005,12.3,0.568,13.2,17.4,-0.4,1546,0.6,Aaron Williams,2002,30,8,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
50,9,2.7,13.9,0.296,9.8,0.9,0.002,11.8,0.504,14.6,16.4,-1.6,1597,0.2,Aaron Williams,2003,31,9,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
51,10.4,2.7,17,0.453,8.9,1.4,0.009,13,0.549,17.8,17.5,-1.6,1337,0.1,Aaron Williams,2004,32,10,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
52,4.204,1.972,16.276,0.27848,6.124,0.828,0,11.1,0.52244,19.348,12.884,-6.632,315,-0.6,Aaron Williams,2005,33,11,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
53,3.588,2.139,18.12,0.32905,9.38,1.143,0,13.65,0.5519,13.058,13.618,-3.651,791,-0.6,Aaron Williams,2006,34,12,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
54,2.9,2.9,18.4,0.415,8.7,1,0.019,13.6,0.606,22.3,10,-2.7,374,-0.1,Aaron Williams,2007,35,13,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
55,4.9,3.8,18,0.327,5.8,2.1,0,11.9,0.54,17.1,11.8,-2.5,297,0,Aaron Williams,2008,36,14,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
56,7.1,1.6,12,0.262,2.8,1.4,0.436,7.4,0.439,17,17.1,-5.3,522,-0.4,Abdel Nader,2018,24,1,Iowa State,Abdel Nader Iowa State,Abdel Nader iowa-state
57,3.8,1.5,15.7,0.167,2,1.3,0.465,8.6,0.522,10.1,15.1,-3.2,694,-0.2,Abdel Nader,2019,25,2,Iowa State,Abdel Nader Iowa State,Abdel Nader iowa-state
58,1.5,2.9,16,0.43,8.3,1,0.003,12.1,0.463,14,19.4,-6.5,1149,-1.3,Acie Earl,1994,23,1,Iowa,Acie Earl Iowa,Acie Earl iowa
59,1.4,2.6,14.6,0.426,10.4,1.5,0,12.5,0.409,14.8,19.7,-8.9,208,-0.4,Acie Earl,1995,24,2,Iowa,Acie Earl Iowa,Acie Earl iowa
60,6.9,4.3,14.3,0.413,9.2,1.4,0.011,11.7,0.484,13.1,25.2,-5.1,655,-0.5,Acie Earl,1996,25,3,Iowa,Acie Earl Iowa,Acie Earl iowa
61,6.653,4.43,14.762,0.46067,7.975,1.607,0.02912,11.332,0.43235,14.135,22.68,-4.446,500,-0.6,Acie Earl,1997,26,4,Iowa,Acie Earl Iowa,Acie Earl iowa
62,20.4,0,6,0.203,1.6,1.8,0.143,3.8,0.455,17.8,16.5,-5.2,865,-0.7,Acie Law,2008,23,1,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
