,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
2280,23,3.5,30.9,0.456,6.8,2.2,0.34,19.2,0.583,18.9,31.9,4.7,1737,2.9,DeMarcus Cousins,2018,27,8,Kentucky,DeMarcus Cousins Kentucky,DeMarcus Cousins kentucky
2281,20.4,4.8,27,0.388,6.2,2.5,0.256,17.1,0.562,14.2,28.1,3,771,1,DeMarcus Cousins,2019,28,9,Kentucky,DeMarcus Cousins Kentucky,DeMarcus Cousins kentucky
2282,11.3,0.8,11.4,0.259,3.8,2.6,0.056,7.6,0.44,20,18.8,-5.5,171,-0.2,DeMarcus Nelson,2009,23,1,Duke ,DeMarcus Nelson Duke ,DeMarcus Nelson duke
2283,5.9,0.9,14.3,0.239,7.8,1.8,0.027,11,0.426,8.9,14.8,-4.2,795,-0.4,DeMarre Carroll,2010,23,1,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2284,10.71,1.638,14.508,0.17316,4.758,1.014,0,9.594,0.39468,0,11.532,-3.468,50,0,DeMarre Carroll,2011,24,2,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2285,8.148,0.188,8.304,0.15228,9.118,1.786,0.18048,8.77,0.48112,8.832,15.872,-1.886,348,0,DeMarre Carroll,2012,25,3,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2286,8.7,1.7,10.8,0.302,9.1,2.8,0.216,9.9,0.535,8.5,16.4,1.3,1111,0.9,DeMarre Carroll,2013,26,4,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2287,8.9,0.7,14.5,0.22,5.3,2.3,0.417,10,0.575,10.1,15.2,0.7,2341,1.6,DeMarre Carroll,2014,27,5,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2288,8.3,0.7,13.8,0.277,5.3,2.2,0.466,9.7,0.603,9.3,16.9,1.7,2189,2,DeMarre Carroll,2015,28,6,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2289,5.5,0.6,13.1,0.185,4.6,2.9,0.437,8.9,0.49,8.8,18.5,0.3,786,0.5,DeMarre Carroll,2016,29,7,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2290,5.7,1.2,12.7,0.213,3.8,2.2,0.582,8.3,0.53,8.2,15.6,0,1882,1,DeMarre Carroll,2017,30,8,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2291,10.5,1,18.4,0.313,5.1,1.3,0.498,11.7,0.55,10.3,19.8,0.2,2180,1.2,DeMarre Carroll,2018,31,9,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2292,7.2,0.5,17.3,0.421,4.2,0.9,0.539,10.8,0.546,9.7,18.6,-1.5,1703,0.2,DeMarre Carroll,2019,32,10,Missouri,DeMarre Carroll Missouri,DeMarre Carroll missouri
2293,3,2.1,12.4,0.234,2.4,1.2,0.161,7.4,0.485,11.1,15.3,-4.5,803,-0.5,DeQuan Jones,2013,22,1,Miami ,DeQuan Jones Miami ,DeQuan Jones miami-fl
2294,37.1,0,14.8,0.2,4.9,4.5,0.4,9.8,0.322,15.5,25,-5.8,22,0,DeVaughn Akoon-Purcell,2019,25,1,Illinois State ,DeVaughn Akoon-Purcell Illinois State ,DeVaughn Akoon-Purcell illinois-state
2301,23.8,0,6.3,0.196,0,1.1,0.283,3.1,0.42,18,18.5,-9.3,139,-0.3,Dean Oliver,2002,23,1,Iowa ,Dean Oliver Iowa ,Dean Oliver iowa
2302,35.4,0,9.1,0.276,9.3,3.8,0.207,9.2,0.338,23.5,19.5,-1.6,93,0,Dean Oliver,2003,24,2,Iowa ,Dean Oliver Iowa ,Dean Oliver iowa
2303,9.6,2.6,26.1,0.217,11.1,1.3,0.005,18.5,0.608,11.7,21.2,0.2,2183,1.2,Deandre Ayton,2019,20,1,Arizona,Deandre Ayton Arizona,Deandre Ayton arizona
2304,24.6,0.3,9.4,0.285,2.5,2.4,0.547,5.9,0.472,15.5,21.5,-1,508,0.1,Dedric Willoughby,2000,25,1,Iowa State ,Dedric Willoughby Iowa State ,Dedric Willoughby iowa-state
2305,22.5,0.4,7.4,0.257,2.5,2.1,0.056,5.2,0.523,16.7,17.7,-0.9,1945,0.5,Dee Brown,1991,22,1,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2306,25.6,0.5,7.6,0.223,2,1.9,0.063,4.9,0.472,13.3,21.6,-1.6,883,0.1,Dee Brown,1992,23,2,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2307,28.1,0.9,10,0.345,2.3,3.1,0.117,6.2,0.541,14.4,18.2,3,2254,2.8,Dee Brown,1993,24,3,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2308,18.2,1,9.4,0.214,2.5,2.7,0.094,5.9,0.533,10.1,18.8,1.5,2867,2.5,Dee Brown,1994,25,4,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2309,16.7,1.2,7.8,0.284,2.6,2,0.335,5.1,0.562,11.7,19.3,2.1,2792,2.9,Dee Brown,1995,26,5,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2310,14.3,0.5,7.2,0.256,2.5,2.5,0.357,4.8,0.507,9.7,20.5,-0.5,1591,0.6,Dee Brown,1996,27,6,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2311,19.6,1,9.6,0.133,1.6,3,0.392,5.3,0.455,12,16.4,-1,522,0.1,Dee Brown,1997,28,7,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2312,14.852,0.971,9.095,0.1259,1.512,2.482,0.48116,5.083,0.55368,10.965,16.901,0.472,1719,2,Dee Brown,1998,29,8,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2313,18.8,0.4,7.5,0.111,1.2,2.2,0.705,4.3,0.529,13.4,19.7,0.7,1377,1,Dee Brown,1999,30,9,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2314,20.7,0.5,7.7,0.062,1.4,1.9,0.725,4.5,0.498,12.8,20,-0.5,673,0.3,Dee Brown,2000,31,10,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2315,11.9,0,8.1,0.114,0,1.3,0.727,3.9,0.519,13.2,15.2,-2.4,155,0,Dee Brown,2001,32,11,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2316,4.2,1.1,15.6,0,0,2.4,0.6,7.7,0.175,16.7,16.5,-13.2,65,-0.2,Dee Brown,2002,33,12,Jacksonville,Dee Brown Jacksonville,Dee Brown jacksonville
2331,26.2,1.3,8.6,0.378,2.2,2.6,0.286,5.4,0.411,21.3,14.5,-1.8,450,0,Dee Brown,2007,22,1,Illinois,Dee Brown Illinois,Dee Brown illinois
2332,19.775,0,10.141,0.10452,3.026,2.047,0.49295,6.55,0.44903,24.722,11.864,-5.125,261,-0.4,Dee Brown,2009,24,2,Illinois,Dee Brown Illinois,Dee Brown illinois
2333,22.6,1.5,12.4,0.259,2.2,1.3,0.198,7.4,0.503,22.7,23.5,-4.8,322,-0.2,Dejounte Murray,2017,20,1,Washington,Dejounte Murray Washington,Dejounte Murray washington
2334,20.2,1.5,22.4,0.243,7,2.8,0.056,14.6,0.485,16.6,20.7,0.5,1743,1.1,Dejounte Murray,2018,21,2,Washington,Dejounte Murray Washington,Dejounte Murray washington
2335,12.9,0,0,0.333,0,8.8,0,0,0.291,12.7,29.5,-8,11,0,Dell Demps,1994,23,1,Pacific ,Dell Demps Pacific ,Dell Demps pacific
2336,15.9,0.8,8.6,0.515,2.7,1.8,0.061,5.8,0.655,22.9,27.1,-1.8,87,0,Dell Demps,1996,25,2,Pacific ,Dell Demps Pacific ,Dell Demps pacific
2337,0,0,0,0.667,0,5.4,0.333,0,0.258,0,17.9,-4.2,10,0,Dell Demps,1997,26,3,Pacific ,Dell Demps Pacific ,Dell Demps pacific
2338,22.5,1.1,14.3,0.438,4.1,1.8,0.163,9.3,0.54,14.4,22.1,0.9,229,0.2,Delon Wright,2016,23,1,Utah,Delon Wright Utah,Delon Wright utah
2339,18.2,2.1,8.1,0.474,4.1,3.1,0.259,6.1,0.535,15.1,16.6,2,446,0.5,Delon Wright,2017,24,2,Utah,Delon Wright Utah,Delon Wright utah
2340,19.6,1.8,11.7,0.271,3.6,2.5,0.354,7.7,0.574,13.9,17.2,3.3,1433,1.9,Delon Wright,2018,25,3,Utah,Delon Wright Utah,Delon Wright utah
2341,21.547,1.588,12.826,0.26816,4.424,2.547,0.30089,8.628,0.52324,10.964,18.087,1.465,1699,2.8,Delon Wright,2019,26,4,Utah,Delon Wright Utah,Delon Wright utah
2342,16.4,1.2,11.5,0.174,3.3,2.1,0.432,7.5,0.524,12.6,17,-0.2,507,0.2,Delonte West,2005,21,1,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2343,22.5,1.5,11.4,0.148,2.9,1.8,0.319,7.3,0.574,15.4,16.4,1.9,2418,2.4,Delonte West,2006,22,2,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2344,23.5,1.2,9.7,0.275,1.7,1.7,0.248,5.6,0.526,14.8,19.3,0.4,2219,1.3,Delonte West,2007,23,3,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2345,23.488,1.477,11.923,0.19575,2.265,1.994,0.29131,7.041,0.49682,18.369,18.21,-0.733,1533,1,Delonte West,2008,24,4,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2346,16.6,0.5,9.2,0.173,1.8,2.4,0.365,5.6,0.559,12,16.7,1.7,2152,2,Delonte West,2009,25,5,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2347,20,1.4,10.6,0.326,2.4,1.9,0.177,6.7,0.53,15.3,18.3,0.7,1500,1,Delonte West,2010,26,6,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2348,22,1.7,8,0.125,1.7,2.3,0.275,5,0.533,19.2,16.6,1.8,453,0.4,Delonte West,2011,27,7,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2349,22.2,0.8,9.3,0.194,1.4,2.9,0.211,5.4,0.539,16.3,20.4,1,1060,0.8,Delonte West,2012,28,8,Saint Joseph's,Delonte West Saint Joseph's,Delonte West saint-josephs
2350,3.876,5.304,13.296,0,0,0,0.57356,6.412,0.33444,14.424,27.436,-12.184,44,-0.2,Demetris Nichols,2008,23,1,Syracuse,Demetris Nichols Syracuse,Demetris Nichols syracuse
2351,12.312,5.184,16.128,0.256,0,0,0.218,7.808,0.362,0,31.028,-4.836,14,0,Demetris Nichols,2009,24,2,Syracuse,Demetris Nichols Syracuse,Demetris Nichols syracuse
2352,28.2,0,8,0.167,1.9,0.9,0.278,4.9,0.285,20.6,18.3,-10.5,58,-0.1,Demetrius Calip,1992,22,1,Michigan ,Demetrius Calip Michigan ,Demetrius Calip michigan
2353,28.2,0,13,1.5,13.2,0,0.25,13.1,0.753,0,17.3,9.8,17,0.1,Demetrius Jackson,2017,22,1,Notre Dame,Demetrius Jackson Notre Dame,Demetrius Jackson notre-dame
2354,15.824,1.027,9.796,0.105,7.074,3.037,0.39141,8.414,0.39814,34.459,15.827,-5.182,80,-0.2,Demetrius Jackson,2018,23,2,Notre Dame,Demetrius Jackson Notre Dame,Demetrius Jackson notre-dame
2355,19.6,0,2.6,0.267,5.6,2.4,0.4,4.1,0.656,5.6,19.1,4.5,39,0.1,Demetrius Jackson,2019,24,3,Notre Dame,Demetrius Jackson Notre Dame,Demetrius Jackson notre-dame
2356,3.4,1.8,9.6,0.111,1.6,0.3,0.639,5.4,0.424,13.7,9.9,-7.5,194,-0.3,Deng Adel,2019,21,1,Louisville ,Deng Adel Louisville ,Deng Adel louisville
2357,0,0,0,0,0,0,0,0,0,0,0,-7.2,5,0,Deng Gai,2006,23,1,Fairfield ,Deng Gai Fairfield ,Deng Gai fairfield
2358,0,0,16.3,1,10.3,0,0.25,13.2,0.434,14.8,14.1,-8.1,22,0,Dennis Horner,2012,23,1,NC State ,Dennis Horner NC State ,Dennis Horner north-carolina-state
2359,9.3,0.6,8.3,0.172,2.8,1.3,0.282,5.5,0.504,9.1,24.4,-1.5,2336,0.3,Dennis Scott,1991,22,1,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2360,9.6,0.9,9.8,0.215,2.5,1.6,0.269,6.1,0.496,7.9,26.9,-0.4,608,0.2,Dennis Scott,1992,23,2,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2361,12.2,0.6,9,0.153,2.6,1.6,0.351,6,0.527,11.3,22.5,0.5,1759,1.1,Dennis Scott,1993,24,3,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2362,13.9,0.9,8,0.168,2.7,1.8,0.409,5.4,0.513,8.4,20.8,0.8,2283,1.6,Dennis Scott,1994,25,4,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2363,12.9,0.6,9,0.177,2,1.5,0.546,5.6,0.577,7.6,21.6,2.5,1499,1.7,Dennis Scott,1995,26,5,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2364,12.4,0.7,9.2,0.199,2.5,1.5,0.562,5.9,0.589,9.1,19.9,2.3,3041,3.3,Dennis Scott,1996,27,6,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2365,11.1,0.7,9.1,0.135,2.1,1.9,0.498,5.5,0.519,9.3,18.6,0,2166,1.1,Dennis Scott,1997,28,7,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2366,11.344,1.156,9.934,0.15434,2.29,1.256,0.41352,6.056,0.50278,10.366,19.698,-1.146,2290,1,Dennis Scott,1998,29,8,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2367,8.716,0.328,8.032,0.14372,1.224,1.088,0.4568,4.476,0.51096,7.784,14.96,-1.78,738,0.2,Dennis Scott,1999,30,9,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2368,8.7,0.5,8.6,0.171,1.5,1.2,0.568,5,0.515,7.7,14,-2.2,1263,-0.1,Dennis Scott,2000,31,10,Georgia Tech,Dennis Scott Georgia Tech,Dennis Scott georgia-tech
2369,29.5,0.8,11.8,0.188,2.6,1.7,0.331,7,0.473,14.9,28.9,-2.4,2049,-0.2,Dennis Smith Jr.,2018,20,1,North Carolina State,Dennis Smith Jr. North Carolina State,Dennis Smith Jr. north-carolina-state
2370,27.34,1.12,8.74,0.2392,2.22,2.14,0.3232,5.46,0.5054,17.86,24.78,-1.94,1508,0,Dennis Smith Jr.,2019,21,2,North Carolina State,Dennis Smith Jr. North Carolina State,Dennis Smith Jr. north-carolina-state
2371,9.3,0.6,15.6,0.063,1.2,1.5,0.722,8.3,0.492,14.2,15.4,-3.3,976,-0.3,Denzel Valentine,2017,23,1,Michigan State,Denzel Valentine Michigan State,Denzel Valentine michigan-state
2372,17.8,0.5,18.3,0.071,2.4,1.5,0.513,10.1,0.527,11.8,17.5,-1,2095,0.5,Denzel Valentine,2018,24,2,Michigan State,Denzel Valentine Michigan State,Denzel Valentine michigan-state
2373,5,2.8,10.7,0.146,1.7,1.2,0.329,6,0.47,9.3,16.3,-4.3,240,-0.1,Deonte Burton,2019,25,1,Iowa State ,Deonte Burton Iowa State ,Deonte Burton iowa-state
2374,7.9,1.6,10.4,0.223,4.7,1.7,0.326,7.6,0.463,17.8,17.7,-3.5,1313,-0.5,DerMarr Johnson,2001,20,1,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2375,7.7,2.4,12.5,0.194,3.9,1.9,0.457,8.2,0.513,14.8,18,-1.3,1727,0.3,DerMarr Johnson,2002,21,2,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2376,6.4,1.8,13.5,0.32,2,1.5,0.371,7.8,0.511,12.6,20.5,-1.8,287,0,DerMarr Johnson,2004,23,3,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2377,9.8,1.1,10,0.272,4,1.8,0.399,7.1,0.605,13.5,17.4,0.3,1232,0.7,DerMarr Johnson,2005,24,4,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2378,9.5,2.1,9.6,0.137,2.4,1.4,0.523,6.1,0.545,12.4,17.9,-0.8,924,0.3,DerMarr Johnson,2006,25,5,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2379,6,2.1,12.5,0.136,2.7,1.9,0.571,7.7,0.414,14.2,19.5,-4.3,419,-0.2,DerMarr Johnson,2007,26,6,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2380,7.2,0,4.2,0.143,0,1.9,0.643,2.1,0.571,0,25.5,2.5,28,0,DerMarr Johnson,2008,27,7,Cincinnati,DerMarr Johnson Cincinnati,DerMarr Johnson cincinnati
2381,21.3,0.5,8.7,0.538,3.7,2.5,0.143,6.2,0.531,15,21.4,1.7,1839,1.7,Derek Anderson,1998,23,1,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2382,28.5,0.3,11.5,0.525,2.6,2.7,0.22,7.1,0.529,17.5,23.4,1.6,978,0.9,Derek Anderson,1999,24,2,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2383,17.9,0.3,9.3,0.359,3.9,2.1,0.207,6.5,0.542,14.4,23.4,-0.1,2201,1.1,Derek Anderson,2000,25,3,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2384,18.1,0.3,10.9,0.405,3.1,2.2,0.255,7.2,0.542,12.4,21.9,2.4,2859,3.2,Derek Anderson,2001,26,4,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2385,18.6,0.3,9.1,0.34,2.9,2,0.373,6,0.538,11,19.4,1.6,1860,1.7,Derek Anderson,2002,27,5,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2386,20.7,0.5,10,0.323,2.5,1.9,0.398,6.2,0.556,11.9,19.5,2.3,2556,2.8,Derek Anderson,2003,28,6,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2387,21.1,0.1,10.2,0.307,1.7,2,0.423,6,0.499,11.5,20.5,0.3,1810,1,Derek Anderson,2004,29,7,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2388,18.9,0.2,9.2,0.223,2.4,1.6,0.386,6,0.503,14,18.5,-1.2,1239,0.2,Derek Anderson,2005,30,8,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2389,15.66,0.468,13.352,0.3648,2.456,1.18,0.44332,8.048,0.49444,13.144,18.26,-1.196,1047,0.4,Derek Anderson,2006,31,9,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2390,17.6,0.5,8.6,0.361,2.8,2.3,0.517,5.6,0.586,14.1,15.1,0.4,1190,0.7,Derek Anderson,2007,32,10,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2391,17.8,0.2,12.6,0.304,2.6,1.6,0.416,7.5,0.497,15,19.3,-3.2,396,-0.1,Derek Anderson,2008,33,11,Kentucky,Derek Anderson Kentucky,Derek Anderson kentucky
2392,20.1,0.4,8.8,0.458,3.1,2.3,0.279,6,0.491,18.4,18.8,-2.7,921,-0.1,Derek Fisher,1997,22,1,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2393,27,0.2,9.7,0.402,2.5,2.2,0.214,6.2,0.533,21.1,14.1,0,1760,0.9,Derek Fisher,1998,23,2,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2394,25.8,0.1,7.1,0.3,2.2,2.8,0.369,4.7,0.497,20.5,14.9,-0.6,1131,0.4,Derek Fisher,1999,24,3,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2395,17.1,0.1,7.1,0.3,1.3,2.3,0.344,4.2,0.449,12.1,15.1,-1.6,1803,0.2,Derek Fisher,2000,25,4,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2396,18.3,0.2,8.5,0.332,0.8,2.9,0.337,4.7,0.534,11.9,15.4,0.2,709,0.4,Derek Fisher,2001,26,5,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2397,13.9,0.3,7.2,0.167,0.8,1.7,0.524,4.1,0.55,8,17.6,1.1,1974,1.5,Derek Fisher,2002,27,6,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2398,16.1,0.4,8,0.161,1.6,1.7,0.274,4.8,0.52,10.2,14.5,-1.3,2829,0.5,Derek Fisher,2003,28,7,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2399,16.3,0.2,7.9,0.266,1.9,3,0.311,4.9,0.451,10.9,18.3,-0.8,1769,0.5,Derek Fisher,2004,29,8,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2400,21.6,0.1,9.2,0.269,1.8,1.8,0.385,5.3,0.519,13.3,19.4,-1.1,2222,0.5,Derek Fisher,2005,30,9,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2401,22.6,0.2,7.7,0.33,1.5,2.5,0.333,4.5,0.536,13.3,20.2,0.4,2589,1.6,Derek Fisher,2006,31,10,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2402,18.1,0.2,6.3,0.455,1.6,1.9,0.231,4,0.51,12.9,18.2,-1.6,2287,0.2,Derek Fisher,2007,32,11,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2403,15.9,0.1,6.9,0.242,1.2,1.9,0.355,4.2,0.556,9.5,18.6,-0.4,2249,0.9,Derek Fisher,2008,33,12,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2404,14.9,0.2,7.4,0.189,1.2,2,0.439,4.4,0.546,8.8,14.7,0.2,2441,1.3,Derek Fisher,2009,34,13,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2405,12.9,0.3,7.2,0.237,1.3,2.1,0.401,4.3,0.499,11.2,14,-1.7,2227,0.2,Derek Fisher,2010,35,14,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2406,14,0.3,6.6,0.195,0.7,2.3,0.301,3.7,0.486,10.9,12.8,-2,2297,0,Derek Fisher,2011,36,15,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2407,16.743,0.2,7.757,0.19643,0.965,1.765,0.31232,4.538,0.4655,16.345,13.643,-3.221,1508,-1,Derek Fisher,2012,37,16,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2408,11.76,0.4,6.6,0.2352,0.42,1.7,0.498,3.6,0.492,14.02,16.46,-3.4,575,-0.4,Derek Fisher,2013,38,17,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2409,11.6,0.2,8.3,0.197,1,2.5,0.634,4.8,0.542,11.1,13.7,-0.6,1428,0.5,Derek Fisher,2014,39,18,Arkansas-Little Rock,Derek Fisher Arkansas-Little Rock,Derek Fisher arkansas-little-rock
2410,0,2,13.4,0.143,0,4.6,0.857,6.5,0.47,16.8,23.4,-2.2,34,0,Derek Grimm,1998,23,1,Missouri ,Derek Grimm Missouri ,Derek Grimm missouri
2411,0,0,27.5,0,0,0,0,14.1,0,0,33.6,-29.5,4,0,Derek Hood,2000,23,1,Arkansas ,Derek Hood Arkansas ,Derek Hood arkansas
2412,9.8,0,37.4,1,8.9,0,0,22.8,0.26,14.8,23.8,-13.8,12,0,Derek Strong,1992,23,1,Xavier,Derek Strong Xavier,Derek Strong xavier
2413,5.9,0.2,25.8,0.924,13.5,1.6,0.087,19.6,0.603,9.1,18,1.5,339,0.3,Derek Strong,1993,24,2,Xavier,Derek Strong Xavier,Derek Strong xavier
2414,6.6,0.8,18.5,0.604,10.5,1.7,0.038,14.3,0.514,12.4,18.8,-2.5,1131,-0.2,Derek Strong,1994,25,3,Xavier,Derek Strong Xavier,Derek Strong xavier
2415,4.7,0.7,20.8,0.523,11.5,0.9,0.021,16.1,0.545,16.3,15.6,-2.8,1344,-0.3,Derek Strong,1995,26,4,Xavier,Derek Strong Xavier,Derek Strong xavier
2416,6,1.1,18.1,0.503,9.6,1.3,0.053,13.9,0.518,8.8,13.6,-1.8,746,0,Derek Strong,1996,27,5,Xavier,Derek Strong Xavier,Derek Strong xavier
2417,6.2,0.8,20.7,0.372,9.9,1.3,0.022,15.2,0.513,13,18,-2.5,2004,-0.3,Derek Strong,1997,28,6,Xavier,Derek Strong Xavier,Derek Strong xavier
2418,5.8,1.1,20.2,0.452,10.7,1,0.006,15.3,0.497,9.1,22.8,-1.1,1638,0.4,Derek Strong,1998,29,7,Xavier,Derek Strong Xavier,Derek Strong xavier
2419,4.1,0.8,16.1,0.55,10.8,1.2,0.011,13.4,0.499,14.2,17,-2.5,695,-0.1,Derek Strong,1999,30,8,Xavier,Derek Strong Xavier,Derek Strong xavier
2420,4.1,0.9,24.2,0.292,8.1,1.7,0.083,16.2,0.499,18.1,18.8,-3.7,148,-0.1,Derek Strong,2000,31,9,Xavier,Derek Strong Xavier,Derek Strong xavier
2421,2.3,0.1,16.8,0.316,8.2,1.5,0.009,12.6,0.443,14.2,14.6,-2.6,491,-0.1,Derek Strong,2001,32,10,Xavier,Derek Strong Xavier,Derek Strong xavier
2422,28.6,0.6,8.4,0.168,1.8,1.4,0.272,5.1,0.5,14.4,20.3,-1.7,2307,0.2,Deron Williams,2006,21,1,Illinois,Deron Williams Illinois,Deron Williams illinois
2423,41.6,0.4,9.3,0.273,1.7,1.4,0.235,5.5,0.535,16.9,22.2,1.3,2950,2.4,Deron Williams,2007,22,2,Illinois,Deron Williams Illinois,Deron Williams illinois
2424,43.6,0.6,8.3,0.368,1.4,1.5,0.188,4.9,0.595,17.7,23.1,3.8,3059,4.5,Deron Williams,2008,23,3,Illinois,Deron Williams Illinois,Deron Williams illinois
2425,47.8,0.6,8.1,0.39,1.1,1.5,0.23,4.6,0.573,16.5,24.7,4,2505,3.8,Deron Williams,2009,24,4,Illinois,Deron Williams Illinois,Deron Williams illinois
2426,44.5,0.5,10.4,0.397,2.2,1.8,0.246,6.4,0.574,16.9,23.8,3.8,2802,4.1,Deron Williams,2010,25,5,Illinois,Deron Williams Illinois,Deron Williams illinois
2427,45.814,0.5,10.86,0.42172,1.918,1.718,0.32522,6.362,0.56468,16.624,25.84,3.016,2465,6.2,Deron Williams,2011,26,6,Illinois,Deron Williams Illinois,Deron Williams illinois
2428,46.6,0.8,9.6,0.317,1.3,1.8,0.356,5.3,0.527,16.7,30.1,2.3,1999,2.2,Deron Williams,2012,27,7,Illinois,Deron Williams Illinois,Deron Williams illinois
2429,37.5,0.8,8.5,0.328,1.2,1.4,0.398,4.8,0.574,14.5,24.4,3.8,2842,4.2,Deron Williams,2013,28,8,Illinois,Deron Williams Illinois,Deron Williams illinois
2430,32.8,0.5,8.9,0.302,0.9,2.4,0.374,4.9,0.564,15,21.8,1.2,2059,1.7,Deron Williams,2014,29,9,Illinois,Deron Williams Illinois,Deron Williams illinois
