assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
14.9,68.0,5.8,59,20.1,,6.7,18.0,177,2.8,0.708,435.0,0.68,296.0,0.467,203.0,0.64,130.0,33.0,33,6-7,990,13.4,12.7,116,5.5,68.0,40.8,zion-williamson-1,746.0,663,Forward,3.9,70,duke,0.163,71,0.338,24,15.5,293.0,0.702,12.8,78,364,0.747,272,28.6,285,8.3,0.335,Zion Williamson,Career,1,2.75,2.38,7.15,8.2,5.25,4.69,2.75,30.14,2.83,2.87,0.97,11.84,3.15,14.71,10.99
14.5,185.0,8.8,232,10.4,,3.9,19.6,484,6.0,0.642,916.0,0.639,585.0,0.429,393.0,0.618,243.0,98.0,69,6-8,2725,6.5,11.7,268,10.4,211.0,30.2,brandon-clarke-1,1419.0,1370,Forward,2.0,100,gonzaga,0.026,24,0.25,6,15.7,752.0,0.643,11.6,144,892,0.649,579,22.4,215,16.4,0.24,Brandon Clarke,Career,3,2.72,3.41,7.1,5.77,3.57,3.93,3.1,20.83,1.47,0.35,0.09,11.04,2.11,13.09,8.5
14.8,219.0,6.0,160,8.9,,3.5,15.3,421,5.5,0.53,1064.0,0.516,549.0,0.621,661.0,0.758,501.0,104.0,101,6-7,3003,5.4,9.7,257,10.2,331.0,25.7,grant-williams-1,1629.0,1595,Forward,1.7,89,tennessee,0.097,103,0.291,30,12.7,678.0,0.591,13.7,219,961,0.54,519,26.5,236,15.7,0.209,Grant Williams,Career,3,2.92,2.13,5.61,8.8,6.67,3.42,4.41,21.7,1.19,1.37,0.4,9.03,2.92,12.8,6.91
43.0,532.0,1.8,40,7.7,,1.5,14.0,301,4.3,0.536,821.0,0.485,398.0,0.501,411.0,0.81,333.0,65.0,65,6-3,2295,6.2,5.0,95,9.4,112.0,26.7,temetrius-morant-1,1213.0,1416,Guard,2.2,88,murray-state,0.298,245,0.343,84,9.8,396.0,0.597,19.7,249,576,0.545,314,27.2,175,13.7,0.239,Temetrius Morant,Career,2,9.27,0.7,5.25,7.16,5.8,1.66,1.95,21.14,1.53,4.27,1.46,6.9,4.34,10.04,5.47
16.0,250.0,5.2,161,8.1,,2.7,21.9,688,7.2,0.488,1422.0,0.455,647.0,0.416,592.0,0.757,448.0,101.0,100,6-9,3341,5.4,10.0,307,8.4,261.0,25.3,dedric-lawson-1,1835.0,1810,Forward,2.1,125,kansas,0.197,280,0.332,93,16.1,995.0,0.539,13.4,263,1142,0.485,554,28.5,235,15.6,0.187,Dedric Lawson,Career,3,2.99,1.93,8.24,7.09,5.36,3.68,3.12,21.97,1.5,3.35,1.11,11.91,3.15,13.67,6.63
9.6,9.0,12.4,24,13.0,,3.9,29.0,67,0.8,0.61,132.0,0.561,74.0,0.28,37.0,0.757,28.0,9.0,9,7-2,268,9.1,8.7,19,1.1,15.0,37.5,bol-bol-1,189.0,154,Center,1.6,7,oregon,0.189,25,0.52,13,19.2,86.0,0.632,10.7,18,107,0.57,61,33.4,235,1.8,0.271,Bol Bol,Career,1,1.34,3.58,10.0,5.52,4.18,2.84,2.24,28.21,1.04,3.73,1.94,12.84,2.69,15.97,9.1
11.4,89.0,6.6,101,8.1,,4.3,26.3,413,3.8,0.599,489.0,0.595,291.0,0.493,241.0,0.763,184.0,64.0,53,6-10,1692,3.8,10.8,145,4.5,179.0,25.1,bruno-fernando-1,770.0,745,Forward,1.2,33,maryland,0.027,13,0.308,4,19.1,558.0,0.638,19.7,148,476,0.603,287,23.1,240,8.3,0.197,Bruno Fernando,Career,2,2.1,2.39,9.76,5.7,4.35,3.43,4.23,18.2,0.78,0.31,0.09,13.19,3.5,11.25,6.78
19.0,296.0,0.9,34,3.9,,-1.2,13.2,442,3.2,0.576,1580.0,0.47,743.0,0.389,615.0,0.834,513.0,114.0,112,6-2,3704,5.2,1.3,42,11.3,217.0,24.0,matt-morgan-1,2333.0,2087,Guard,1.9,126,cornell,0.56,885,0.377,334,7.5,484.0,0.623,13.7,296,695,0.588,409,29.8,174,14.5,0.157,Matt Morgan,Career,8,3.2,0.37,4.77,6.64,5.54,0.45,2.34,25.19,1.36,9.56,3.61,5.23,3.2,7.51,4.42
19.0,296.0,0.9,34,3.9,,-1.2,13.2,442,3.2,0.576,1580.0,0.47,743.0,0.389,615.0,0.834,513.0,114.0,112,6-2,3704,5.2,1.3,42,11.3,217.0,24.0,matt-morgan-1,2333.0,2087,Guard,1.9,126,cornell,0.56,885,0.377,334,7.5,484.0,0.623,13.7,296,695,0.588,409,29.8,174,14.5,0.157,Matt Morgan,Career,8,3.2,0.37,4.77,6.64,5.54,0.45,2.34,25.19,1.36,9.56,3.61,5.23,3.2,7.51,4.42
14.2,75.0,2.7,26,6.5,,1.9,12.8,127,1.6,0.491,395.0,0.448,177.0,0.491,194.0,0.722,140.0,32.0,32,6-6,1090,4.6,4.8,45,2.4,60.0,19.9,romeo-langford-1,528.0,508,Guard,1.3,25,indiana,0.316,125,0.272,34,8.9,172.0,0.542,12.2,68,270,0.53,143,26.1,215,4.0,0.148,Romeo Langford,Career,1,2.75,0.95,4.66,7.12,5.14,1.65,2.2,19.38,0.92,4.59,1.25,6.31,2.5,9.91,5.25
