name,comp,score,rank
Aaron Holiday,Luke Ridnour oregon,0.96,1
Aaron Holiday,Jeff McInnis north-carolina,0.93,2
Aaron Holiday,Ben Gordon connecticut,0.92,3
Aaron Holiday,Raymond Felton north-carolina,0.91,4
Aaron Holiday,Deron Williams illinois,0.9,5
Ajdin Penava,Marcus Haislip tennessee,0.85,1
Ajdin Penava,Markieff Morris kansas,0.81,2
Ajdin Penava,Walter McCarty kentucky,0.78,3
Ajdin Penava,Shavlik Randolph duke,0.76,4
Ajdin Penava,Richaun Holmes bowling-green-state,0.72,5
Alize Johnson,Quentin Richardson depaul,0.74,1
Alize Johnson,Kawhi Leonard san-diego-state,0.54,2
Alize Johnson,Ryan Anderson california,0.54,3
Alize Johnson,Jumaine Jones georgia,0.52,4
Alize Johnson,Linas Kleiza missouri,0.52,5
Allonzo Trier,Casey Jacobsen stanford,0.86,1
Allonzo Trier,James Anderson oklahoma-state,0.8,2
Allonzo Trier,John Jenkins vanderbilt,0.78,3
Allonzo Trier,Arron Afflalo ucla,0.77,4
Allonzo Trier,Jodie Meeks kentucky,0.73,5
Bonzie Colson,Raef LaFrentz kansas,0.91,1
Bonzie Colson,Cherokee Parks duke,0.89,2
Bonzie Colson,Mike Harris rice,0.89,3
Bonzie Colson,John Wallace syracuse,0.88,4
Bonzie Colson,Andrew Nicholson st-bonaventure,0.84,5
Brandon McCoy,Anthony Bennett nevada-las-vegas,0.88,1
Brandon McCoy,Jabari Parker duke,0.84,2
Brandon McCoy,Chris Bosh georgia-tech,0.82,3
Brandon McCoy,Kris Humphries minnesota,0.81,4
Brandon McCoy,Tobias Harris tennessee,0.81,5
Bruce Brown,Jamison Brewer auburn,0.85,1
Bruce Brown,Russell Westbrook ucla,0.84,2
Bruce Brown,Kendall Marshall north-carolina,0.83,3
Bruce Brown,Michael Carter-Williams syracuse,0.82,4
Bruce Brown,Chris Whitney clemson,0.81,5
Chandler Hutchison,Trevor Wilson ucla,0.59,1
Chandler Hutchison,Bimbo Coles virginia-tech,0.54,2
Chandler Hutchison,Tariq Abdul-Wahad san-jose-state,0.53,3
Chandler Hutchison,Clifford Robinson connecticut,0.51,4
Chandler Hutchison,Shandon Anderson georgia,0.5,5
Chimezie Metu,Tony Battie texas-tech,0.92,1
Chimezie Metu,Richaun Holmes bowling-green-state,0.9,2
Chimezie Metu,Larry Sanders virginia-commonwealth,0.88,3
Chimezie Metu,Damian Jones vanderbilt,0.86,4
Chimezie Metu,Jayson Williams st-johns-ny,0.85,5
Chris Chiozza,Alvin Williams villanova,0.98,1
Chris Chiozza,Michael Hawkins xavier,0.98,2
Chris Chiozza,Steve Blake maryland,0.98,3
Chris Chiozza,Tate George connecticut,0.94,4
Chris Chiozza,Bobby Hurley duke,0.93,5
Collin Sexton,Dajuan Wagner memphis,0.85,1
Collin Sexton,Jerryd Bayless arizona,0.83,2
Collin Sexton,Kyrie Irving duke,0.77,3
Collin Sexton,Eric Gordon indiana,0.71,4
Collin Sexton,Derrick Rose memphis,0.64,5
DJ Hogg,Reggie Bullock north-carolina,0.83,1
DJ Hogg,Brandon Rush kansas,0.82,2
DJ Hogg,Justin Anderson virginia,0.81,3
DJ Hogg,Antoine Wright texas-am,0.8,4
DJ Hogg,DeAndre Liggins kentucky,0.8,5
Deandre Ayton,Anthony Bennett nevada-las-vegas,0.87,1
Deandre Ayton,Kevin Love ucla,0.87,2
Deandre Ayton,Chris Bosh georgia-tech,0.77,3
Deandre Ayton,Michael Beasley kansas-state,0.74,4
Deandre Ayton,Carl Herrera houston,0.71,5
Deng Adel,Tony Snell new-mexico,0.94,1
Deng Adel,Allen Crabbe california,0.91,2
Deng Adel,Jimmy Oliver purdue,0.89,3
Deng Adel,Brandon Rush kansas,0.87,4
Deng Adel,Justin Anderson virginia,0.87,5
Devon Hall,Caris LeVert michigan,0.91,1
Devon Hall,Garrett Temple louisiana-state,0.85,2
Devon Hall,Justin Holiday washington,0.85,3
Devon Hall,Rusty LaRue wake-forest,0.85,4
Devon Hall,Chris Quinn notre-dame,0.84,5
Devonte Graham,Andre Barrett seton-hall,0.96,1
Devonte Graham,Chucky Atkins south-florida,0.96,2
Devonte Graham,Matthew Dellavedova saint-marys-ca,0.96,3
Devonte Graham,Shabazz Napier connecticut,0.96,4
Devonte Graham,Travis Diener marquette,0.96,5
Dikembe Dixson,Harold Miner southern-california,0.67,1
Dikembe Dixson,Maurice Evans texas,0.63,2
Dikembe Dixson,Kirk Snyder nevada,0.62,3
Dikembe Dixson,Tremaine Fowlkes fresno-state,0.58,4
Dikembe Dixson,Antoine Wright texas-am,0.57,5
Donte Grantham,Pat Connaughton notre-dame,0.92,1
Donte Grantham,Rusty LaRue wake-forest,0.88,2
Donte Grantham,Jake Layman maryland,0.86,3
Donte Grantham,Josh Richardson tennessee,0.85,4
Donte Grantham,Justin Holiday washington,0.85,5
Duncan Robinson,Rusty LaRue wake-forest,0.93,1
Duncan Robinson,Darius Miller kentucky,0.9,2
Duncan Robinson,Jake Layman maryland,0.87,3
Duncan Robinson,Pat Connaughton notre-dame,0.87,4
Duncan Robinson,Bryn Forbes michigan-state,0.86,5
Gary Clark,Linton Johnson tulane,0.79,1
Gary Clark,Eric Moreland oregon-state,0.78,2
Gary Clark,Pete Chilcutt north-carolina,0.78,3
Gary Clark,Lavoy Allen temple,0.77,4
Gary Clark,Jamie Feick michigan-state,0.72,5
George King,Chris Johnson dayton,0.85,1
George King,Kyle Singler duke,0.85,2
George King,Cartier Martin kansas-state,0.83,3
George King,Rodney McGruder kansas-state,0.82,4
George King,Maurice Ager michigan-state,0.8,5
Grayson Allen,Isaiah Canaan murray-state,0.96,1
Grayson Allen,Damian Lillard weber-state,0.93,2
Grayson Allen,Bryce Drew valparaiso,0.89,3
Grayson Allen,Shammond Williams north-carolina,0.89,4
Grayson Allen,Bobby Brown cal-state-fullerton,0.88,5
Hamidou Diallo,Avery Bradley texas,0.72,1
Hamidou Diallo,Austin Rivers duke,0.66,2
Hamidou Diallo,Kevon Looney ucla,0.64,3
Hamidou Diallo,Trevor Ariza ucla,0.61,4
Hamidou Diallo,James Young kentucky,0.59,5
JP Macura,Ian Clark belmont,0.86,1
JP Macura,Kyle Korver creighton,0.82,2
JP Macura,Luther Head illinois,0.82,3
JP Macura,Quinn Cook duke,0.82,4
JP Macura,Chris Quinn notre-dame,0.81,5
