name,comp,score,rank
Jalen Smith,Charlie Villanueva connecticut,0.8,3
Jalen Smith,Rasheed Wallace north-carolina,0.8,4
Jalen Smith,Jarell Martin louisiana-state,0.78,5
James Wiseman,Kevin Love ucla,0.89,1
James Wiseman,Anthony Bennett nevada-las-vegas,0.83,2
James Wiseman,DeMarcus Cousins kentucky,0.82,3
James Wiseman,Michael Beasley kansas-state,0.81,4
James Wiseman,Carl Herrera houston,0.78,5
Jon Teske,Mikki Moore nebraska,0.92,1
Jon Teske,Hilton Armstrong connecticut,0.88,2
Jon Teske,Jeremy Evans western-kentucky,0.88,3
Jon Teske,Eric Moreland oregon-state,0.85,4
Jon Teske,Linton Johnson tulane,0.84,5
Jordan Ford,Hubert Davis north-carolina,0.97,1
Jordan Ford,Derrick Dial eastern-michigan,0.85,2
Jordan Ford,Matt Carroll notre-dame,0.81,3
Jordan Ford,Richie Frahm gonzaga,0.81,4
Jordan Ford,Sean Kilpatrick cincinnati,0.81,5
Jordan Nwora,John Jenkins vanderbilt,0.82,1
Jordan Nwora,Maurice Evans texas,0.82,2
Jordan Nwora,James Anderson oklahoma-state,0.81,3
Jordan Nwora,Jarvis Hayes georgia,0.77,4
Jordan Nwora,Kareem Rush missouri,0.76,5
Josh Green,Cory Joseph texas,0.8,1
Josh Green,Tyler Ennis syracuse,0.73,2
Josh Green,Tyus Jones duke,0.69,3
Josh Green,Zach LaVine ucla,0.65,4
Josh Green,Eric Bledsoe kentucky,0.61,5
Justinian Jessup,Langston Galloway saint-josephs,0.97,1
Justinian Jessup,Rusty LaRue wake-forest,0.97,2
Justinian Jessup,Anthony Morrow georgia-tech,0.91,3
Justinian Jessup,Matt Carroll notre-dame,0.91,4
Justinian Jessup,Bryn Forbes michigan-state,0.9,5
Kahlil Whitney,Avery Bradley texas,0.8,1
Kahlil Whitney,Trevor Ariza ucla,0.77,2
Kahlil Whitney,Aaron Gordon arizona,0.7,3
Kahlil Whitney,Kevon Looney ucla,0.68,4
Kahlil Whitney,Andre Drummond connecticut,0.64,5
Kaleb Wesson,Markieff Morris kansas,0.77,1
Kaleb Wesson,Jason Smith colorado-state,0.76,2
Kaleb Wesson,Thomas Robinson kansas,0.72,3
Kaleb Wesson,Chris Carr southern-illinois,0.71,4
Kaleb Wesson,Marcus Morris kansas,0.69,5
